m,n_m,multiplier,variant,reps,seed,success_prob,n_qubits,n_search_qubits,search_space_size,reduction_ratio,depth,cnot_count,u3_count,n_seeds,opt_seconds
21,5,mcx,uniform,2,1,0.046452,16,8,8.0,1.0,13337,7996,8996,5,777.4
21,5,mcx,uniform,2,2,0.043468,16,8,8.0,1.0,13337,7996,8996,5,777.4
21,5,mcx,uniform,2,3,0.018796,16,8,8.0,1.0,13337,7996,8996,5,777.4
21,5,mcx,uniform,2,4,0.080599,16,8,8.0,1.0,13337,7996,8996,5,777.4
21,5,mcx,uniform,3,0,0.024661,16,8,8.0,1.0,20005,11994,13488,5,1555.1
21,5,mcx,uniform,3,1,0.0686,16,8,8.0,1.0,20005,11994,13488,5,1555.1
21,5,mcx,uniform,3,2,0.063028,16,8,8.0,1.0,20005,11994,13488,5,1555.1
21,5,mcx,uniform,3,3,0.032204,16,8,8.0,1.0,20005,11994,13488,5,1555.1
21,5,mcx,uniform,3,4,0.033355,16,8,8.0,1.0,20005,11994,13488,5,1555.1
21,5,mcx,uniform,4,0,0.043893,16,8,8.0,1.0,26673,15992,17980,5,2431.1
21,5,mcx,uniform,4,1,0.039395,16,8,8.0,1.0,26673,15992,17980,5,2431.1
21,5,mcx,uniform,4,2,0.025822,16,8,8.0,1.0,26673,15992,17980,5,2431.1
21,5,mcx,uniform,4,3,0.044207,16,8,8.0,1.0,26673,15992,17980,5,2431.1
21,5,mcx,uniform,4,4,0.038634,16,8,8.0,1.0,26673,15992,17980,5,2431.1
15,4,rgqft,uniform,1,0,0.054439,16,6,6.0,1.0,2103,1326,1632,5,26.5
15,4,rgqft,uniform,1,1,0.054439,16,6,6.0,1.0,2103,1326,1632,5,26.5
15,4,rgqft,uniform,1,2,0.093386,16,6,6.0,1.0,2103,1326,1632,5,26.5
15,4,rgqft,uniform,1,3,0.093386,16,6,6.0,1.0,2103,1326,1632,5,26.5
15,4,rgqft,uniform,1,4,0.093386,16,6,6.0,1.0,2103,1326,1632,5,26.5
15,4,rgqft,uniform,2,0,0.131198,16,6,6.0,1.0,4126,2540,3096,5,211.0
15,4,rgqft,uniform,2,1,0.092112,16,6,6.0,1.0,4126,2540,3096,5,211.0
15,4,rgqft,uniform,2,2,0.095645,16,6,6.0,1.0,4126,2540,3096,5,211.0
15,4,rgqft,uniform,2,3,0.037716,16,6,6.0,1.0,4126,2540,3096,5,211.0
15,4,rgqft,uniform,2,4,0.078376,16,6,6.0,1.0,4126,2540,3096,5,211.0
15,4,rgqft,uniform,3,0,0.158738,16,6,6.0,1.0,6149,3754,4560,5,470.7
15,4,rgqft,uniform,3,1,0.196338,16,6,6.0,1.0,6149,3754,4560,5,470.7
15,4,rgqft,uniform,3,2,0.17378,16,6,6.0,1.0,6149,3754,4560,5,470.7
15,4,rgqft,uniform,3,3,0.074036,16,6,6.0,1.0,6149,3754,4560,5,470.7
15,4,rgqft,uniform,3,4,0.097529,16,6,6.0,1.0,6149,3754,4560,5,470.7
15,4,rgqft,uniform,4,0,0.171579,16,6,6.0,1.0,8172,4968,6024,5,1004.9
15,4,rgqft,uniform,4,1,0.142486,16,6,6.0,1.0,8172,4968,6024,5,1004.9
15,4,rgqft,uniform,4,2,0.073431,16,6,6.0,1.0,8172,4968,6024,5,1004.9
15,4,rgqft,uniform,4,3,0.194888,16,6,6.0,1.0,8172,4968,6024,5,1004.9
15,4,rgqft,uniform,4,4,0.23263,16,6,6.0,1.0,8172,4968,6024,5,1004.9
15,4,hrs,uniform,1,0,0.054439,17,6,6.0,1.0,7040,3932,5250,5,72.2
15,4,hrs,uniform,1,1,0.054439,17,6,6.0,1.0,7040,3932,5250,5,72.2
15,4,hrs,uniform,1,2,0.093386,17,6,6.0,1.0,7040,3932,5250,5,72.2
15,4,hrs,uniform,1,3,0.093386,17,6,6.0,1.0,7040,3932,5250,5,72.2
15,4,hrs,uniform,1,4,0.093386,17,6,6.0,1.0,7040,3932,5250,5,72.2
15,4,hrs,uniform,2,0,0.131198,17,6,6.0,1.0,14079,7864,10485,5,425.9
15,4,hrs,uniform,2,1,0.092107,17,6,6.0,1.0,14079,7864,10485,5,425.9
15,4,hrs,uniform,2,2,0.095743,17,6,6.0,1.0,14079,7864,10485,5,425.9
15,4,hrs,uniform,2,3,0.037717,17,6,6.0,1.0,14079,7864,10485,5,425.9
15,4,hrs,uniform,2,4,0.078376,17,6,6.0,1.0,14079,7864,10485,5,425.9
15,4,hrs,uniform,3,0,0.158738,17,6,6.0,1.0,21118,11796,15720,5,614.3
15,4,hrs,uniform,3,1,0.196356,17,6,6.0,1.0,21118,11796,15720,5,614.3
15,4,hrs,uniform,3,2,0.17378,17,6,6.0,1.0,21118,11796,15720,5,614.3
15,4,hrs,uniform,3,3,0.074036,17,6,6.0,1.0,21118,11796,15720,5,614.3
15,4,hrs,uniform,3,4,0.097529,17,6,6.0,1.0,21118,11796,15720,5,614.3
15,4,hrs,uniform,4,0,0.171579,17,6,6.0,1.0,28157,15728,20955,5,636.5
15,4,hrs,uniform,4,1,0.142486,17,6,6.0,1.0,28157,15728,20955,5,636.5
15,4,hrs,uniform,4,2,0.073431,17,6,6.0,1.0,28157,15728,20955,5,636.5
15,4,hrs,uniform,4,3,0.194888,17,6,6.0,1.0,28157,15728,20955,5,636.5
15,4,hrs,uniform,4,4,0.232731,17,6,6.0,1.0,28157,15728,20955,5,636.5
15,4,hrs,uniform,5,0,0.18886,17,6,6.0,1.0,35196,19660,26190,5,785.3
