m,variant,reps,success_mean,success_std,success_best,n_seeds,n_qubits,depth,cnot_count,u3_count,search_space_size,reduction_ratio
15,reduced,5,0.430947,0.04697840707176011,0.488038,5,17,35774,20050,26610,4.0,0.6667
15,uniform,5,0.1678174,0.023393416879541117,0.18886,5,17,35196,19660,26190,6.0,1.0
21,reduced,5,0.5602894,0.13557536737106782,0.717563,5,21,56524,31681,41905,5.0,0.625
21,uniform,5,0.0633392,0.022890700725403754,0.097152,5,21,54946,30600,40764,8.0,1.0
35,reduced,4,0.1336078,0.05025329348112421,0.223058,5,25,65136,36441,48219,6.585,0.7317
35,uniform,5,0.05245760000000001,0.030560020669168405,0.096058,5,25,79086,43950,58547,9.0,1.0
