m,unknowns,carry_bits
7169,32,22
7597,28,18
7811,28,19
8453,33,23
8881,32,22
9523,30,21
10379,31,22
10807,28,19
11021,31,21
11449,30,20
327,4,1
545,19,13
763,6,3
1199,19,13
1417,20,13
1853,21,13
2071,22,15
2507,22,15
3161,25,17
3379,22,15
4033,26,17
4469,27,18
4687,26,18
5123,25,17
5777,28,19
6431,27,19
6649,28,19
7303,28,19
7739,27,18
7957,30,20
8611,29,20
9047,31,22
9701,31,21
10573,31,21
11009,32,22
11227,28,19
11663,28,19
11881,31,21
339,6,2
565,17,11
791,15,10
1243,19,13
1469,19,12
1921,22,14
2147,22,15
2599,20,13
3277,24,16
3503,22,15
4181,28,19
4633,30,21
4859,25,17
5311,24,16
5989,25,16
6667,27,19
6893,27,18
7571,27,18
8023,28,19
8249,33,23
8927,31,22
9379,29,20
10057,34,24
10961,34,24
11413,33,23
11639,28,19
12091,28,19
12317,34,24
12769,32,22
381,0,0
635,10,5
889,14,8
1397,19,12
1651,19,13
2159,22,15
2413,24,16
2921,23,15
3683,19,12
3937,22,14
4699,26,18
5207,24,16
5461,26,17
5969,27,18
6731,26,18
7493,25,16
7747,23,15
8509,32,22
9017,33,23
9271,30,21
10033,33,23
10541,30,20
11303,28,19
12319,32,23
12827,32,23
13081,34,24
13589,33,23
13843,32,23
14351,32,23
16129,31,21
393,13,7
655,1,1
917,17,10
1441,18,12
1703,19,12
2227,2,2
2489,17,12
3013,20,13
3799,22,14
4061,24,15
4847,17,12
5371,21,14
5633,27,19
6157,31,21
6943,28,19
7729,30,20
7991,27,18
8777,21,16
9301,25,18
9563,23,17
10349,29,20
10873,30,21
11659,28,20
12707,31,21
13231,30,20
13493,34,23
14017,35,24
14279,32,22
14803,33,23
16637,37,26
17161,20,16
411,12,6
685,17,10
959,14,8
1507,15,10
1781,21,13
2329,17,12
2603,18,12
3151,22,14
3973,24,15
4247,25,17
5069,20,14
5617,24,16
5891,24,17
6439,27,18
7261,30,20
8083,27,18
8357,31,21
9179,18,14
9727,22,16
10001,26,19
10823,28,20
11371,27,19
12193,29,20
13289,33,22
13837,34,23
14111,32,22
14659,33,23
14933,34,23
15481,35,24
17399,33,23
17947,22,17
18769,30,22
417,13,7
695,6,4
973,17,10
1529,18,12
1807,19,12
2363,14,10
2641,21,14
3197,24,15
4031,22,14
4309,27,18
5143,24,17
5699,23,16
5977,26,18
6533,29,19
7367,27,18
8201,35,25
8479,31,22
9313,25,18
9869,25,18
10147,22,16
10981,29,20
11537,31,22
12371,33,23
13483,32,22
14039,32,22
14317,32,21
14873,35,24
15151,30,20
15707,33,23
17653,37,26
18209,24,18
19043,26,19
19321,29,21
447,6,2
745,18,11
1043,18,12
1639,19,12
1937,22,14
2533,16,11
2831,18,12
3427,22,14
4321,28,19
4619,25,17
5513,26,18
6109,24,16
6407,28,19
7003,27,18
7897,30,20
8791,31,22
9089,33,23
9983,22,16
10579,28,20
10877,29,20
11771,26,18
12367,33,23
13261,34,23
14453,34,23
15049,35,24
15347,30,20
15943,32,22
16241,33,22
16837,38,27
18923,34,24
19519,26,19
20413,28,20
20711,31,22
22201,34,24
453,13,7
755,7,4
1057,22,15
1661,21,13
1963,19,12
2567,18,12
2869,20,13
3473,25,16
4379,25,17
4681,28,19
5587,22,15
6191,27,18
6493,29,19
7097,29,19
8003,27,18
8909,32,22
9211,28,19
10117,25,18
10721,29,20
11023,28,20
11929,31,22
12533,34,23
13439,32,22
14647,31,21
15251,32,22
15553,36,25
16157,34,23
16459,36,26
17063,34,24
19177,37,26
19781,29,21
20687,32,23
20989,33,23
22499,31,22
22801,35,25
471,10,5
785,19,12
1099,18,12
1727,19,12
2041,22,14
2669,20,13
2983,18,12
3611,22,14
4553,28,19
4867,25,17
5809,25,17
6437,29,19
6751,28,19
7379,27,18
8321,34,24
9263,30,21
9577,32,22
10519,28,20
11147,28,20
11461,30,21
12403,32,22
13031,31,21
13973,34,23
15229,32,21
15857,34,23
16171,30,20
16799,36,26
17113,38,27
17741,38,27
19939,34,24
20567,32,23
21509,34,24
21823,31,22
23393,34,24
23707,32,23
24649,40,28
489,13,7
815,14,8
1141,17,10
1793,22,14
2119,22,15
2771,18,12
3097,25,16
3749,24,15
4727,25,17
5053,27,18
6031,23,16
6683,29,20
7009,29,19
7661,27,17
8639,29,20
9617,33,23
9943,30,21
10921,30,21
11573,28,19
11899,27,19
12877,34,23
13529,36,25
14507,32,22
15811,33,23
16463,36,26
16789,38,27
17441,38,27
17767,34,24
18419,33,23
20701,38,27
21353,34,24
22331,31,22
22657,35,25
24287,32,23
24613,38,26
25591,36,25
26569,39,27
501,13,7
835,16,10
1169,22,15
1837,21,13
2171,22,15
2839,18,12
3173,24,15
3841,25,16
4843,25,17
5177,26,17
6179,27,18
6847,26,17
7181,31,21
7849,29,19
8851,31,22
9853,31,21
10187,29,20
11189,28,19
11857,31,22
12191,28,20
13193,35,24
13861,33,22
14863,32,22
16199,32,22
16867,34,24
17201,36,25
17869,38,27
18203,35,25
18871,34,24
21209,36,25
21877,33,23
22879,32,23
23213,33,23
24883,36,25
25217,40,28
26219,35,24
27221,39,27
27889,38,26
519,8,3
865,19,12
1211,15,9
1903,19,12
2249,25,17
2941,20,13
3287,22,14
3979,22,14
5017,28,19
5363,23,15
6401,31,21
7093,28,18
7439,28,19
8131,26,17
9169,32,22
10207,29,20
10553,31,21
11591,28,20
12283,26,18
12629,35,24
13667,31,21
14359,33,23
15397,34,23
16781,38,27
17473,39,28
17819,36,26
18511,36,26
18857,37,26
19549,38,27
21971,36,26
22663,32,23
23701,34,24
24047,31,22
25777,38,26
26123,36,25
27161,40,28
28199,35,24
28891,37,26
29929,38,26
537,11,5
895,12,6
1253,21,14
1969,22,14
2327,22,15
3043,18,12
3401,25,16
4117,27,18
5191,23,15
5549,25,16
6623,26,17
7339,26,17
7697,32,22
8413,32,22
9487,31,22
10561,31,21
10919,27,18
11993,31,22
12709,33,22
13067,32,22
14141,32,21
14857,35,24
15931,31,21
17363,35,25
18079,35,25
18437,38,27
19153,38,27
19511,35,25
20227,35,25
22733,38,27
23449,35,25
24523,32,23
24881,39,27
26671,36,25
27029,39,27
28103,36,25
29177,39,27
29893,38,26
30967,36,25
32041,38,26
543,5,1
905,18,11
1267,15,9
1991,19,12
2353,25,17
3077,24,15
3439,22,14
4163,25,17
5249,26,17
5611,23,15
6697,30,20
7421,27,17
7783,26,17
8507,30,21
9593,32,22
10679,27,18
11041,31,21
12127,28,20
12851,31,21
13213,34,23
14299,32,22
15023,31,21
16109,33,22
17557,38,27
18281,36,25
18643,36,26
19367,33,23
19729,39,28
20453,35,24
22987,36,26
23711,32,23
24797,39,27
25159,37,26
26969,40,28
27331,37,26
28417,39,27
29503,36,25
30227,36,25
31313,40,28
32399,36,25
32761,38,26
573,11,5
955,14,8
1337,18,11
2101,24,16
2483,22,15
3247,22,14
3629,24,15
4393,28,19
5539,23,15
5921,26,17
7067,27,18
7831,28,19
8213,34,24
8977,34,24
10123,30,21
11269,34,24
11651,28,19
12797,33,22
13561,35,24
13943,31,21
15089,34,23
15853,33,22
16999,34,24
18527,36,26
19291,35,25
19673,39,28
20437,37,26
20819,36,26
21583,36,26
24257,36,25
25021,38,26
26167,35,24
26549,37,25
28459,35,24
28841,39,27
29987,35,24
31133,39,27
31897,39,27
33043,40,29
34189,41,29
34571,39,28
36481,42,30
579,10,4
965,18,11
1351,17,11
2123,22,15
2509,24,16
3281,25,16
3667,22,14
4439,25,17
5597,25,16
5983,23,15
7141,27,17
7913,28,18
8299,29,20
9071,29,20
10229,30,20
11387,27,18
11773,28,18
12931,32,22
13703,33,23
14089,35,24
15247,32,22
16019,32,22
17177,38,27
18721,37,26
19493,37,26
19879,34,24
20651,35,25
21037,34,23
21809,37,26
24511,31,21
25283,37,26
26441,39,27
26827,37,26
28757,39,27
29143,37,26
30301,38,26
31459,36,25
32231,35,24
33389,41,29
34547,38,27
34933,41,29
36863,38,27
37249,43,31
591,7,2
985,18,11
1379,17,11
2167,22,15
2561,23,15
3349,24,15
3743,22,14
4531,25,17
5713,26,17
6107,23,15
7289,29,19
8077,29,19
8471,31,22
9259,30,21
10441,33,23
11623,27,18
12017,29,19
13199,32,22
13987,31,21
14381,34,23
15563,33,23
16351,32,22
17533,37,26
19109,36,25
19897,37,26
20291,35,25
21079,33,23
21473,34,23
22261,34,23
25019,34,24
25807,36,25
26989,38,26
27383,36,25
29353,39,27
29747,35,24
30929,40,28
32111,35,24
32899,40,29
34081,41,29
35263,39,28
35657,43,31
37627,39,28
38021,41,29
38809,42,30
597,11,5
995,16,10
1393,20,13
2189,24,16
2587,20,13
3383,22,14
3781,24,15
4577,28,19
5771,23,15
6169,28,19
7363,27,18
8159,26,17
8557,31,21
9353,34,24
10547,28,19
11741,29,19
12139,27,18
13333,35,24
14129,33,22
14527,32,22
15721,34,23
16517,38,27
17711,34,24
19303,33,23
20099,35,25
20497,39,28
21293,33,22
21691,35,25
22487,33,23
25273,37,26
26069,38,26
27263,36,25
27661,38,26
29651,37,26
30049,38,26
31243,37,26
32437,37,25
33233,43,31
34427,38,27
35621,41,29
36019,38,27
38009,41,29
38407,39,28
39203,39,28
39601,42,30
633,11,5
1055,17,11
1477,19,12
2321,25,17
2743,20,13
3587,22,14
4009,25,16
4853,27,18
6119,23,15
6541,27,18
7807,26,17
8651,29,20
9073,32,22
9917,31,21
11183,27,18
12449,32,22
12871,31,22
14137,33,22
14981,34,23
15403,32,22
16669,38,27
17513,38,27
18779,36,26
20467,33,23
21311,31,21
21733,37,26
22577,38,27
22999,36,26
23843,34,24
26797,37,26
27641,39,27
28907,36,25
29329,40,28
31439,37,26
31861,37,25
33127,39,28
34393,42,30
35237,41,29
36503,39,28
37769,43,31
38191,38,27
40301,40,28
40723,39,28
41567,40,29
41989,39,27
44521,39,27
669,9,4
1115,14,8
1561,21,14
2453,24,16
2899,20,13
3791,22,14
4237,27,18
5129,26,17
6467,25,17
6913,28,19
8251,30,21
9143,29,20
9589,31,21
10481,29,19
11819,28,19
13157,31,21
13603,30,21
14941,34,23
15833,36,25
16279,32,22
17617,39,28
18509,38,27
19847,36,26
21631,35,25
22523,31,21
22969,37,26
23861,36,25
24307,32,22
25199,34,24
28321,37,26
29213,39,27
30551,36,25
30997,39,27
33227,40,29
33673,43,31
35011,40,29
36349,40,28
37241,42,30
38579,38,27
39917,41,29
40363,38,27
42593,39,27
43039,40,29
43931,40,29
44377,40,28
47053,39,27
49729,43,31
681,9,4
1135,17,11
1589,20,13
2497,25,17
2951,20,13
3859,22,14
4313,28,19
5221,25,16
6583,25,17
7037,27,18
8399,30,21
9307,31,22
9761,33,23
10669,29,19
12031,26,17
13393,34,24
13847,32,23
15209,33,22
16117,33,22
16571,35,25
17933,37,26
18841,39,28
20203,34,24
22019,33,23
22927,36,26
23381,35,24
24289,35,24
24743,35,25
25651,35,25
28829,38,27
29737,38,26
31099,36,25
31553,40,28
33823,39,28
34277,40,28
35639,39,28
37001,43,31
37909,41,29
39271,39,28
40633,41,29
41087,39,28
43357,42,30
43811,39,28
44719,36,25
45173,41,29
47897,43,31
50621,40,28
51529,43,31
687,5,1
1145,20,13
1603,19,13
2519,22,15
2977,23,15
3893,24,15
4351,25,17
5267,23,15
6641,28,19
7099,25,17
8473,34,24
9389,31,21
9847,29,20
10763,32,23
12137,30,20
13511,30,21
13969,34,24
15343,30,20
16259,32,22
16717,38,27
18091,34,24
19007,34,24
20381,37,26
22213,35,24
23129,36,25
23587,35,25
24503,31,21
24961,39,28
25877,38,27
29083,36,26
29999,35,24
31373,39,27
31831,36,25
34121,42,30
34579,39,28
35953,41,29
37327,40,29
38243,38,27
39617,43,31
40991,40,29
41449,42,30
43739,40,29
44197,38,26
45113,42,30
45571,40,29
48319,36,25
51067,38,27
51983,40,29
52441,42,30
699,8,3
1165,20,13
1631,13,7
2563,20,13
3029,22,14
3961,25,16
4427,25,17
5359,23,15
6757,27,18
7223,22,14
8621,31,21
9553,33,23
10019,30,21
10951,30,21
12349,32,22
13747,29,20
14213,32,22
15611,32,22
16543,36,26
17009,37,26
18407,33,23
19339,35,25
20737,39,28
22601,39,28
23533,33,22
23999,34,24
24931,34,24
25397,35,24
26329,38,27
29591,32,22
30523,35,24
31921,38,26
32387,36,25
34717,41,29
35183,39,28
36581,40,28
37979,39,28
38911,38,27
40309,40,28
41707,39,28
42173,38,26
44503,37,26
44969,39,27
45901,42,30
46367,37,26
49163,40,29
51959,39,28
52891,39,28
53357,41,29
54289,42,30
717,7,3
1195,16,10
1673,21,14
2629,22,14
3107,22,15
4063,22,14
4541,27,18
5497,26,17
6931,25,17
7409,25,16
8843,31,22
9799,31,22
10277,30,20
11233,29,19
12667,29,20
14101,33,23
14579,25,16
16013,34,23
16969,38,27
17447,35,25
18881,39,28
19837,36,25
21271,33,23
23183,33,23
24139,33,23
24617,38,27
25573,35,24
26051,36,26
27007,34,24
30353,35,24
31309,39,27
32743,35,24
33221,42,30
35611,40,29
36089,41,29
37523,40,29
38957,41,29
39913,42,30
41347,40,29
42781,39,27
43259,39,28
45649,43,31
46127,36,25
47083,36,25
47561,43,31
50429,40,28
53297,42,30
54253,41,29
54731,39,28
55687,40,29
57121,41,29
723,6,2
1205,20,13
1687,18,12
2651,20,13
3133,24,16
4097,28,19
4579,25,17
5543,23,15
6989,27,18
7471,22,14
8917,32,22
9881,34,24
10363,27,18
11327,28,19
12773,30,20
14219,30,21
14701,28,18
16147,32,22
17111,35,25
17593,38,27
19039,35,25
20003,34,24
21449,36,25
23377,36,25
24341,35,24
24823,35,25
25787,35,25
26269,37,26
27233,37,26
30607,32,22
31571,37,26
33017,42,30
33499,40,29
35909,41,29
36391,38,27
37837,42,30
39283,39,28
40247,38,27
41693,42,30
43139,40,29
43621,41,29
46031,40,29
46513,39,27
47477,41,29
47959,40,29
50851,38,27
53743,39,28
54707,38,27
55189,41,29
56153,43,31
57599,39,28
58081,42,30
753,3,1
1255,19,13
1757,15,8
2761,23,15
3263,22,15
4267,25,17
4769,28,19
5773,25,16
7279,22,14
7781,24,15
9287,31,22
10291,28,19
10793,31,21
11797,34,24
13303,28,19
14809,29,19
15311,26,17
16817,37,26
17821,38,27
18323,35,25
19829,36,25
20833,37,26
22339,33,23
24347,33,23
25351,35,25
25853,37,26
26857,38,27
27359,35,25
28363,35,25
31877,38,27
32881,42,30
34387,39,28
34889,43,31
37399,40,29
37901,41,29
39407,39,28
40913,42,30
41917,41,29
43423,40,29
44929,40,28
45431,39,28
47941,42,30
48443,36,25
49447,39,28
49949,42,30
52961,41,29
55973,41,29
56977,42,30
57479,40,29
58483,35,24
59989,42,30
60491,36,25
63001,39,27
771,14,7
1285,1,1
1799,19,12
2827,18,12
3341,24,15
4369,2,2
4883,17,12
5911,21,14
7453,27,17
7967,25,16
9509,24,17
10537,29,20
11051,26,18
12079,26,18
13621,33,22
15163,30,20
15677,33,22
17219,17,14
18247,22,17
18761,30,22
20303,27,20
21331,32,23
22873,35,25
24929,39,27
25957,37,25
26471,35,24
27499,36,25
28013,37,25
29041,39,27
32639,35,24
33667,16,14
35209,29,22
35723,26,20
38293,33,24
38807,31,23
40349,33,24
41891,35,25
42919,35,25
44461,37,26
46003,35,25
46517,37,26
49087,35,25
49601,44,31
50629,43,30
51143,41,29
54227,41,29
57311,40,28
58339,40,28
58853,42,29
59881,42,29
61423,39,27
61937,43,30
64507,39,27
66049,18,16
789,15,8
1315,6,4
1841,22,14
2893,20,13
3419,22,14
4471,7,6
4997,19,13
6049,24,16
7627,25,16
8153,28,18
9731,23,17
10783,28,20
11309,29,20
12361,34,23
13939,30,20
15517,34,23
16043,30,20
17621,24,18
18673,29,21
19199,26,19
20777,34,24
21829,34,24
23407,31,22
25511,36,25
26563,36,25
27089,40,28
28141,37,25
28667,35,24
29719,36,25
33401,42,30
34453,23,18
36031,25,19
36557,28,21
39187,31,23
39713,33,24
41291,36,26
42869,37,26
43921,39,28
45499,35,25
47077,37,26
47603,35,25
50233,43,30
50759,41,29
51811,39,27
52337,42,29
55493,42,29
58649,44,31
59701,41,28
60227,40,28
61279,40,28
62857,44,31
63383,41,29
66013,46,33
67591,25,20
69169,27,21
807,12,6
1345,12,8
1883,17,10
2959,18,12
3497,25,16
4573,12,9
5111,17,12
6187,25,16
7801,28,18
8339,28,19
9953,23,16
11029,30,21
11567,26,18
12643,29,19
14257,32,21
15871,28,18
16409,39,28
18023,21,16
19099,27,20
19637,28,20
21251,32,23
22327,31,22
23941,34,24
26093,37,25
27169,39,27
27707,35,24
28783,36,25
29321,40,28
30397,37,25
34163,38,27
35239,25,19
36853,27,20
37391,31,23
40081,34,25
40619,30,22
42233,38,27
43847,36,26
44923,35,25
46537,39,28
48151,36,26
48689,38,27
51379,39,27
51917,42,29
52993,43,30
53531,41,29
56759,39,27
59987,40,28
61063,40,28
61601,43,30
62677,43,30
64291,39,27
64829,41,28
67519,43,31
69133,27,21
70747,30,23
72361,32,24
813,15,8
1355,8,5
1897,20,12
2981,20,13
3523,22,14
4607,10,8
5149,23,15
6233,28,18
7859,25,16
8401,31,21
10027,22,16
11111,25,17
11653,29,20
12737,33,22
14363,33,23
15989,32,21
16531,35,25
18157,23,17
19241,29,21
19783,27,20
21409,34,24
22493,34,24
24119,31,22
26287,35,24
27371,36,25
27913,39,27
28997,39,27
29539,36,25
30623,36,25
34417,41,29
35501,27,20
37127,31,23
37669,32,23
40379,30,22
40921,34,25
42547,35,25
44173,38,27
45257,39,28
46883,35,25
48509,37,26
49051,36,26
51761,42,29
52303,40,28
53387,41,29
53929,43,30
57181,42,29
60433,43,30
61517,43,30
62059,40,28
63143,40,28
64769,43,30
65311,40,28
68021,44,31
69647,30,23
71273,32,24
72899,30,23
73441,32,24
831,8,3
1385,11,7
1939,18,11
3047,18,12
3601,25,16
4709,19,13
5263,21,14
6371,25,16
8033,28,18
8587,28,19
10249,31,22
11357,29,20
11911,27,19
13019,30,20
14681,34,23
16343,30,20
16897,38,27
18559,26,19
19667,27,20
20221,28,20
21883,31,22
22991,32,23
24653,39,27
26869,38,26
27977,39,27
28531,35,24
29639,37,26
30193,38,26
31301,39,27
35179,39,28
36287,25,19
37949,32,23
38503,30,22
41273,38,27
41827,35,25
43489,38,27
45151,36,26
46259,35,25
47921,38,27
49583,40,28
50137,44,31
52907,39,27
53461,43,30
54569,43,30
55123,41,29
58447,41,29
61771,41,29
62879,41,29
63433,44,31
64541,42,29
66203,44,32
66757,46,33
69527,43,31
71189,32,24
72851,30,23
74513,38,28
75067,34,25
76729,37,27
843,14,7
1405,18,10
1967,16,9
3091,22,14
3653,24,15
4777,20,14
5339,21,14
6463,25,16
8149,27,17
8711,28,19
10397,29,20
11521,31,22
12083,26,18
13207,31,21
14893,33,22
16579,33,23
17141,34,23
18827,27,20
19951,26,19
20513,34,24
22199,31,22
23323,32,23
25009,39,27
27257,39,27
28381,38,26
28943,37,26
30067,35,24
30629,37,25
31753,39,27
35687,39,28
36811,26,20
38497,33,24
39059,31,23
41869,38,27
42431,35,25
44117,38,27
45803,35,25
46927,36,26
48613,37,26
50299,40,28
50861,42,29
53671,40,28
54233,44,31
55357,41,28
55919,39,27
59291,41,29
62663,41,29
63787,39,27
64349,42,29
65473,43,30
67159,44,32
67721,46,33
70531,44,32
72217,33,25
73903,34,25
75589,37,27
76151,34,25
77837,37,27
78961,37,27
849,15,8
1415,12,8
1981,17,9
3113,25,16
3679,22,14
4811,17,12
5377,24,16
6509,27,17
8207,28,19
8773,30,20
10471,25,17
11603,27,19
12169,30,21
13301,30,19
14999,31,21
16697,37,26
17263,32,22
18961,30,22
20093,28,20
20659,31,22
22357,34,24
23489,35,25
25187,36,25
27451,36,25
28583,35,24
29149,39,27
30281,39,27
30847,36,25
31979,35,24
35941,40,28
37073,34,25
38771,30,22
39337,33,24
42167,35,25
42733,37,26
44431,36,26
46129,38,27
47261,38,27
48959,35,25
50657,43,30
51223,40,28
54053,42,29
54619,41,29
55751,40,28
56317,41,28
59713,43,30
63109,43,30
64241,42,29
64807,39,27
65939,44,32
67637,44,31
68203,42,30
71033,46,33
72731,30,23
74429,36,26
76127,35,26
76693,37,27
78391,34,25
79523,34,25
80089,38,28
879,11,5
1465,12,7
2051,22,15
3223,22,14
3809,25,16
4981,19,13
5567,21,14
6739,25,16
8497,31,21
9083,28,19
10841,30,21
12013,27,18
12599,31,21
13771,30,20
15529,34,23
17287,34,24
17873,36,25
19631,26,19
20803,32,23
21389,34,24
23147,31,22
24319,31,22
26077,38,26
28421,38,26
29593,40,28
30179,35,24
31351,36,25
31937,39,27
33109,42,30
37211,40,29
38383,30,22
40141,33,24
40727,31,23
43657,39,28
44243,36,26
46001,38,27
47759,36,26
48931,35,25
50689,44,31
52447,40,28
53033,42,29
55963,40,28
56549,41,28
57721,43,30
58307,41,29
61823,40,28
65339,39,27
66511,44,32
67097,47,34
68269,44,31
70027,44,32
70613,46,33
73543,43,31
75301,36,26
77059,35,26
78817,37,27
79403,34,25
81161,38,28
82333,42,30
82919,39,28
85849,43,31
921,15,8
1535,15,8
2149,24,16
3377,25,16
3991,22,14
5219,21,14
5833,24,16
7061,27,17
8903,28,19
9517,30,20
11359,27,19
12587,31,21
13201,34,23
14429,33,22
16271,31,21
18113,36,25
18727,34,24
20569,35,25
21797,33,23
22411,32,23
24253,33,23
25481,40,28
27323,36,25
29779,36,25
31007,37,26
31621,39,27
32849,43,31
33463,39,28
34691,39,28
38989,42,30
40217,34,25
42059,36,26
42673,38,27
45743,35,25
46357,38,27
48199,36,26
50041,43,30
51269,42,29
53111,39,27
54953,43,30
55567,40,28
58637,43,30
59251,40,28
60479,39,27
61093,41,28
64777,43,30
68461,44,31
69689,46,33
70303,44,32
71531,43,31
73373,45,32
73987,44,32
77057,46,33
78899,34,25
80741,36,26
82583,40,29
83197,41,29
85039,39,28
86267,39,28
86881,42,30
89951,40,29
94249,42,30
933,15,8
1555,18,11
2177,25,17
3421,24,15
4043,22,14
5287,21,14
5909,23,15
7153,28,18
9019,28,19
9641,31,21
11507,25,17
12751,30,20
13373,34,23
14617,36,25
16483,33,23
18349,34,23
18971,35,25
20837,33,23
22081,35,25
22703,31,22
24569,34,24
25813,38,26
27679,36,25
30167,36,25
31411,36,25
32033,38,26
33277,41,29
33899,38,27
35143,40,29
39497,43,31
40741,32,23
42607,35,25
43229,38,27
46339,36,26
46961,38,27
48827,35,25
50693,43,30
51937,42,29
53803,40,28
55669,41,28
56291,39,27
59401,43,30
60023,39,27
61267,40,28
61889,44,31
65621,46,33
69353,45,32
70597,46,33
71219,43,31
72463,43,31
74329,47,34
74951,44,32
78061,45,32
79927,34,25
81793,38,28
83659,40,29
84281,42,30
86147,40,29
87391,40,29
88013,42,30
91123,39,28
95477,41,29
96721,43,31
939,14,7
1565,19,11
2191,21,14
3443,22,14
4069,24,15
5321,24,16
5947,21,14
7199,25,16
9077,30,20
