m,unknowns,carry_bits
9,0,0
1369,19,13
6241,30,20
32761,38,26
17161,20,16
57121,41,29
85849,43,31
128881,46,32
177241,48,34
229441,51,37
310249,45,33
375769,51,37
452929,55,39
552049,57,41
776161,55,39
674041,55,39
908209,57,41
