m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,angles
21,5,uniform,1,21,hrs,256,-1.0,0,,0.015913,"[2.95937644, 0.75586209]"
21,5,uniform,1,21,hrs,256,0.0001,0,0.007812,0.015913,"[2.95937644, 0.75586209]"
21,5,uniform,1,21,hrs,256,0.01,0,0.003906,0.015913,"[2.95937644, 0.75586209]"
21,5,uniform,1,21,hrs,256,0.1,0,0.011719,0.015913,"[2.95937644, 0.75586209]"
21,5,uniform,1,21,hrs,256,-1.0,1,,0.017963,"[1.94590956, 2.13362917]"
21,5,uniform,1,21,hrs,256,0.0001,1,0.011719,0.017963,"[1.94590956, 2.13362917]"
21,5,uniform,1,21,hrs,256,0.01,1,0.003906,0.017963,"[1.94590956, 2.13362917]"
21,5,uniform,1,21,hrs,256,0.1,1,0.011719,0.017963,"[1.94590956, 2.13362917]"
21,5,uniform,1,21,hrs,256,-1.0,2,,0.017963,"[1.94572138, 2.13418158]"
21,5,uniform,1,21,hrs,256,0.0001,2,0.027344,0.017963,"[1.94572138, 2.13418158]"
21,5,uniform,1,21,hrs,256,0.01,2,0.003906,0.017963,"[1.94572138, 2.13418158]"
21,5,uniform,1,21,hrs,256,0.1,2,0.007812,0.017963,"[1.94572138, 2.13418158]"
21,5,uniform,1,21,hrs,256,-1.0,3,,0.017963,"[1.19574475, 1.00754364]"
21,5,uniform,1,21,hrs,256,0.0001,3,0.011719,0.017963,"[1.19574475, 1.00754364]"
21,5,uniform,1,21,hrs,256,0.01,3,0.011719,0.017963,"[1.19574475, 1.00754364]"
21,5,uniform,1,21,hrs,256,0.1,3,0.011719,0.017963,"[1.19574475, 1.00754364]"
21,5,uniform,1,21,hrs,256,-1.0,4,,0.043468,"[2.87192777, 2.79766866]"
21,5,uniform,1,21,hrs,256,0.0001,4,0.035156,0.043468,"[2.87192777, 2.79766866]"
21,5,uniform,1,21,hrs,256,0.01,4,0.007812,0.043468,"[2.87192777, 2.79766866]"
21,5,uniform,1,21,hrs,256,0.1,4,0.015625,0.043468,"[2.87192777, 2.79766866]"
21,5,reduced,1,21,hrs,256,-1.0,0,,0.157347,"[1.29033593, 2.75833863]"
21,5,reduced,1,21,hrs,256,0.0001,0,0.105469,0.157347,"[1.29033593, 2.75833863]"
21,5,reduced,1,21,hrs,256,0.01,0,0.003906,0.157347,"[1.29033593, 2.75833863]"
21,5,reduced,1,21,hrs,256,0.1,0,0.015625,0.157347,"[1.29033593, 2.75833863]"
21,5,reduced,1,21,hrs,256,-1.0,1,,0.157347,"[1.29023658, 2.75826729]"
21,5,reduced,1,21,hrs,256,0.0001,1,0.113281,0.157347,"[1.29023658, 2.75826729]"
21,5,reduced,1,21,hrs,256,0.01,1,0.003906,0.157347,"[1.29023658, 2.75826729]"
21,5,reduced,1,21,hrs,256,0.1,1,0.003906,0.157347,"[1.29023658, 2.75826729]"
21,5,reduced,1,21,hrs,256,-1.0,2,,0.157347,"[1.8516102, 0.38322529]"
21,5,reduced,1,21,hrs,256,0.0001,2,0.097656,0.157347,"[1.8516102, 0.38322529]"
21,5,reduced,1,21,hrs,256,0.01,2,0.0,0.157347,"[1.8516102, 0.38322529]"
21,5,reduced,1,21,hrs,256,0.1,2,0.003906,0.157347,"[1.8516102, 0.38322529]"
21,5,reduced,1,21,hrs,256,-1.0,3,,0.157347,"[1.85177268, 0.38318814]"
21,5,reduced,1,21,hrs,256,0.0001,3,0.074219,0.157347,"[1.85177268, 0.38318814]"
21,5,reduced,1,21,hrs,256,0.01,3,0.003906,0.157347,"[1.85177268, 0.38318814]"
21,5,reduced,1,21,hrs,256,0.1,3,0.003906,0.157347,"[1.85177268, 0.38318814]"
21,5,reduced,1,21,hrs,256,-1.0,4,,0.157347,"[4.43088355, 2.75838295]"
21,5,reduced,1,21,hrs,256,0.0001,4,0.089844,0.157347,"[4.43088355, 2.75838295]"
21,5,reduced,1,21,hrs,256,0.01,4,0.011719,0.157347,"[4.43088355, 2.75838295]"
21,5,reduced,1,21,hrs,256,0.1,4,0.003906,0.157347,"[4.43088355, 2.75838295]"
21,5,uniform,2,21,hrs,256,-1.0,0,,0.016839,"[2.05469079, 1.80762527, -0.10687574, -0.59519371]"
21,5,uniform,2,21,hrs,256,0.0001,0,0.019531,0.016839,"[2.05469079, 1.80762527, -0.10687574, -0.59519371]"
21,5,uniform,2,21,hrs,256,0.01,0,0.0,0.016839,"[2.05469079, 1.80762527, -0.10687574, -0.59519371]"
21,5,uniform,2,21,hrs,256,0.1,0,0.011719,0.016839,"[2.05469079, 1.80762527, -0.10687574, -0.59519371]"
21,5,uniform,2,21,hrs,256,-1.0,1,,0.046452,"[1.42263317, 2.88046483, 0.19729849, 2.82216445]"
21,5,uniform,2,21,hrs,256,0.0001,1,0.019531,0.046452,"[1.42263317, 2.88046483, 0.19729849, 2.82216445]"
21,5,uniform,2,21,hrs,256,0.01,1,0.007812,0.046452,"[1.42263317, 2.88046483, 0.19729849, 2.82216445]"
21,5,uniform,2,21,hrs,256,0.1,1,0.015625,0.046452,"[1.42263317, 2.88046483, 0.19729849, 2.82216445]"
21,5,uniform,2,21,hrs,256,-1.0,2,,0.04347,"[1.97229241, 0.89981164, 2.79779503, 0.00328332]"
21,5,uniform,2,21,hrs,256,0.0001,2,0.011719,0.04347,"[1.97229241, 0.89981164, 2.79779503, 0.00328332]"
21,5,uniform,2,21,hrs,256,0.01,2,0.011719,0.04347,"[1.97229241, 0.89981164, 2.79779503, 0.00328332]"
21,5,uniform,2,21,hrs,256,0.1,2,0.011719,0.04347,"[1.97229241, 0.89981164, 2.79779503, 0.00328332]"
21,5,uniform,2,21,hrs,256,-1.0,3,,0.018804,"[0.37746249, 1.61548346, 2.16411136, 1.850746]"
21,5,uniform,2,21,hrs,256,0.0001,3,0.019531,0.018804,"[0.37746249, 1.61548346, 2.16411136, 1.850746]"
21,5,uniform,2,21,hrs,256,0.01,3,0.019531,0.018804,"[0.37746249, 1.61548346, 2.16411136, 1.850746]"
21,5,uniform,2,21,hrs,256,0.1,3,0.011719,0.018804,"[0.37746249, 1.61548346, 2.16411136, 1.850746]"
21,5,uniform,2,21,hrs,256,-1.0,4,,0.080599,"[2.81756402, 2.91391974, 2.87082623, -0.40472461]"
21,5,uniform,2,21,hrs,256,0.0001,4,0.050781,0.080599,"[2.81756402, 2.91391974, 2.87082623, -0.40472461]"
21,5,uniform,2,21,hrs,256,0.01,4,0.011719,0.080599,"[2.81756402, 2.91391974, 2.87082623, -0.40472461]"
21,5,uniform,2,21,hrs,256,0.1,4,0.003906,0.080599,"[2.81756402, 2.91391974, 2.87082623, -0.40472461]"
21,5,reduced,2,21,hrs,256,-1.0,0,,0.345658,"[1.97239399, 1.81867149, 0.32850344, 0.44095802]"
21,5,reduced,2,21,hrs,256,0.0001,0,0.109375,0.345658,"[1.97239399, 1.81867149, 0.32850344, 0.44095802]"
21,5,reduced,2,21,hrs,256,0.01,0,0.003906,0.345658,"[1.97239399, 1.81867149, 0.32850344, 0.44095802]"
21,5,reduced,2,21,hrs,256,0.1,0,0.0,0.345658,"[1.97239399, 1.81867149, 0.32850344, 0.44095802]"
21,5,reduced,2,21,hrs,256,-1.0,1,,0.346136,"[1.18128935, 4.41123443, -0.32825432, 2.70647632]"
21,5,reduced,2,21,hrs,256,0.0001,1,0.085938,0.346136,"[1.18128935, 4.41123443, -0.32825432, 2.70647632]"
21,5,reduced,2,21,hrs,256,0.01,1,0.003906,0.346136,"[1.18128935, 4.41123443, -0.32825432, 2.70647632]"
21,5,reduced,2,21,hrs,256,0.1,1,0.015625,0.346136,"[1.18128935, 4.41123443, -0.32825432, 2.70647632]"
21,5,reduced,2,21,hrs,256,-1.0,2,,0.346123,"[1.95714938, 1.88631231, 3.47025753, 0.43305217]"
21,5,reduced,2,21,hrs,256,0.0001,2,0.121094,0.346123,"[1.95714938, 1.88631231, 3.47025753, 0.43305217]"
21,5,reduced,2,21,hrs,256,0.01,2,0.011719,0.346123,"[1.95714938, 1.88631231, 3.47025753, 0.43305217]"
