p,q,m,unknowns,carry_bits
7,7,49,4,2
5,13,65,10,7
13,7,91,0,0
7,13,91,4,2
11,11,121,10,6
11,13,143,10,7
13,11,143,10,7
23,7,161,11,7
11,17,187,6,4
7,29,203,6,3
19,11,209,13,8
17,13,221,12,7
23,11,253,12,7
11,23,253,12,7
17,17,289,8,6
11,29,319,13,9
31,11,341,13,8
29,13,377,14,9
37,11,407,13,8
23,23,529,19,13
19,29,551,16,11
37,17,629,10,7
31,23,713,17,11
19,43,817,19,12
29,29,841,19,13
37,23,851,16,10
23,37,851,16,10
29,31,899,13,8
29,37,1073,22,15
37,29,1073,22,15
31,41,1271,19,13
31,53,1643,19,13
59,29,1711,19,13
43,43,1849,22,14
67,29,1943,19,12
43,47,2021,21,13
47,47,2209,25,17
37,61,2257,26,18
29,79,2291,22,15
37,67,2479,14,10
67,37,2479,14,10
71,37,2627,19,13
53,53,2809,23,15
47,61,2867,20,13
53,67,3551,23,15
53,71,3763,23,15
59,67,3953,25,16
67,67,4489,17,13
89,53,4717,27,18
79,61,4819,26,18
59,83,4897,29,20
107,47,5029,28,19
79,67,5293,24,16
89,61,5429,26,17
59,97,5723,24,16
47,127,5969,27,18
79,79,6241,30,20
79,83,6557,29,19
103,67,6901,28,18
47,163,7661,27,17
131,61,7991,27,18
67,131,8777,21,16
89,103,9167,30,21
83,113,9379,29,20
71,157,11147,28,20
127,97,12319,32,23
163,79,12877,34,23
211,71,14981,34,23
131,127,16637,37,26
127,149,18923,34,24
151,149,22499,31,22
173,137,23701,34,24
101,251,25351,35,25
181,157,28417,39,27
251,127,31877,38,27
191,179,34189,41,29
149,233,34717,41,29
191,191,36481,42,30
223,181,40363,38,27
269,157,42233,38,27
197,223,43931,40,29
223,211,47053,39,27
257,191,49087,35,25
307,163,50041,43,30
227,223,50621,40,28
263,211,55493,42,29
293,197,57721,43,30
223,293,65339,39,27
251,277,69527,43,31
211,347,73217,46,33
449,173,77677,44,31
223,439,97897,43,30
401,251,100651,42,30
347,307,106529,47,33
277,409,113293,46,32
347,331,114857,47,33
263,487,128081,47,33
439,313,137407,46,33
409,349,142741,50,36
547,269,147143,34,26
331,457,151267,47,34
251,613,153863,47,34
409,379,155011,47,34
499,331,165169,50,36
457,421,192397,50,36
541,449,242909,50,35
751,331,248581,51,36
479,521,249559,49,35
541,487,263467,51,37
433,701,303533,52,37
431,719,309889,54,39
659,479,315661,54,39
419,829,347351,52,38
541,653,353273,50,36
569,659,374971,47,34
607,691,419437,53,37
389,1091,424399,52,37
739,631,466309,55,39
787,593,466691,53,38
463,1049,485687,51,36
1163,431,501253,55,39
547,1117,610999,46,34
613,1019,624647,56,41
787,797,627239,55,40
1163,607,705941,54,39
