p,q,m,unknowns,carry_bits
5,5,25,4,2
5,7,35,0,0
5,11,55,4,2
11,5,55,4,2
17,5,85,10,6
7,13,91,4,2
7,17,119,8,5
11,11,121,10,6
11,13,143,10,7
13,13,169,11,7
11,17,187,6,4
17,11,187,6,4
11,19,209,13,8
13,17,221,12,7
17,13,221,12,7
17,17,289,8,6
23,13,299,13,9
11,29,319,13,9
17,19,323,9,6
19,17,323,9,6
13,29,377,14,9
17,23,391,13,8
23,17,391,13,8
11,37,407,13,8
23,19,437,15,9
19,23,437,15,9
37,13,481,16,10
13,37,481,16,10
17,29,493,15,9
23,23,529,19,13
13,41,533,18,12
19,29,551,16,11
29,19,551,16,11
37,17,629,10,7
29,23,667,14,9
23,29,667,14,9
17,43,731,12,8
29,29,841,19,13
23,37,851,16,10
37,23,851,16,10
19,47,893,18,11
47,19,893,18,11
31,29,899,13,8
41,23,943,16,10
29,37,1073,22,15
41,29,1189,21,14
23,53,1219,19,13
41,31,1271,19,13
47,29,1363,17,11
37,37,1369,19,13
23,61,1403,17,11
31,47,1457,20,13
41,37,1517,17,11
53,31,1643,19,13
41,41,1681,23,15
47,37,1739,20,13
41,43,1763,19,12
29,61,1769,22,15
61,29,1769,22,15
41,47,1927,20,13
29,67,1943,19,12
67,29,1943,19,12
53,37,1961,22,14
47,47,2209,25,17
41,59,2419,22,15
31,79,2449,25,17
47,53,2491,22,15
53,47,2491,22,15
83,31,2573,22,14
41,71,2911,19,13
79,37,2923,18,12
61,53,3233,25,17
59,59,3481,26,18
53,67,3551,23,15
59,67,3953,25,16
71,59,4189,28,19
59,71,4189,28,19
107,41,4387,26,18
53,89,4717,27,18
67,79,5293,24,16
53,101,5353,26,17
59,97,5723,24,16
89,67,5963,24,17
59,103,6077,26,17
83,79,6557,29,19
101,67,6767,27,18
67,101,6767,27,18
71,97,6887,26,17
89,79,7031,27,18
59,127,7493,25,16
127,67,8509,32,22
67,131,8777,21,16
149,59,8791,31,22
71,127,9017,33,23
137,67,9179,18,14
73,127,9271,30,21
113,83,9379,29,20
139,71,9869,25,18
149,71,10579,28,20
67,167,11189,28,19
89,127,11303,28,19
67,173,11591,28,20
107,113,12091,28,19
149,97,14453,34,23
149,101,15049,35,24
107,157,16799,36,26
193,97,18721,37,26
127,149,18923,34,24
149,127,18923,34,24
131,149,19519,26,19
113,179,20227,35,25
137,149,20413,28,20
139,149,20711,31,22
149,149,22201,34,24
211,113,23843,34,24
251,103,25853,37,26
109,269,29321,40,28
211,139,29329,40,28
97,311,30167,36,25
89,347,30883,36,25
149,211,31439,37,26
163,197,32111,35,24
173,191,33043,40,29
97,347,33659,39,28
223,151,33673,43,31
233,149,34717,41,29
211,173,36503,39,28
347,107,37129,43,31
149,251,37399,40,29
151,251,37901,41,29
223,191,42593,39,27
227,191,43357,42,30
163,293,47759,36,26
223,223,49729,43,31
349,149,52001,42,29
227,233,52891,39,28
251,211,52961,41,29
251,223,55973,41,29
131,431,56461,42,29
131,449,58819,41,29
197,307,60479,39,27
293,211,61823,40,28
347,191,66277,45,32
347,227,78769,46,33
317,251,79567,44,32
431,191,82321,47,34
461,179,82519,44,32
419,197,82543,43,31
211,467,98537,46,33
379,263,99677,47,33
223,467,104141,46,33
503,223,112169,46,33
373,307,114511,44,31
409,281,114929,47,33
587,199,116813,47,33
457,269,122933,46,32
359,359,128881,46,32
347,379,131513,50,36
499,307,153193,49,35
401,383,153583,46,33
631,251,158381,49,35
419,431,180589,49,35
397,457,181429,49,35
389,479,186331,45,32
269,701,188569,47,34
541,359,194219,43,31
521,379,197459,49,35
887,239,211993,50,36
787,271,213277,51,36
613,353,216389,51,36
541,401,216941,50,35
331,719,237989,49,34
439,557,244523,47,33
571,439,250669,50,35
373,673,251029,51,36
541,467,252647,48,34
643,397,255271,47,33
587,467,274129,54,39
379,727,275533,53,38
409,683,279347,51,37
479,599,286921,54,39
673,431,290063,51,37
557,521,290197,40,30
479,647,309913,54,39
541,631,341371,47,34
499,691,344809,54,39
613,563,345119,48,35
491,739,362849,54,39
811,479,388469,50,35
929,421,391109,51,36
659,709,467231,53,38
577,823,474871,52,37
839,599,502561,55,39
977,569,555913,58,42
683,853,582599,55,40
691,853,589423,54,39
853,733,625249,58,42
991,641,635231,56,41
1217,547,665699,51,37
631,1151,726281,55,40
877,907,795439,55,40
557,1543,859451,56,40
769,1223,940487,57,41
569,1693,963317,57,40
1361,811,1103771,59,43
1657,727,1204639,60,44
619,1973,1221287,58,42
797,1657,1320629,61,44
1019,1361,1386859,59,43
967,1543,1492081,59,42
1657,937,1552609,59,42
1823,881,1606063,58,42
1249,1289,1609961,63,45
859,1877,1612343,58,42
1993,821,1636253,61,44
1433,1213,1738229,62,44
2003,887,1776661,62,45
