p,q,m,unknowns,carry_bits
7,5,35,14,10
11,7,77,20,15
13,11,143,27,21
17,11,187,28,21
19,11,209,28,21
23,11,253,28,21
23,13,299,35,28
19,17,323,36,28
29,13,377,35,28
23,17,391,36,28
23,19,437,36,28
37,13,481,36,28
29,17,493,36,28
29,19,551,44,36
31,23,713,44,36
43,17,731,45,36
41,19,779,45,36
47,17,799,45,36
37,23,851,45,36
43,29,1247,54,45
53,29,1537,54,45
43,37,1591,55,45
47,37,1739,55,45
59,31,1829,54,45
53,37,1961,55,45
59,47,2773,65,55
