p,q,m,unknowns,carry_bits
7,11,77,6,3
11,7,77,6,3
5,17,85,10,6
11,11,121,10,6
19,7,133,12,8
11,13,143,10,7
13,11,143,10,7
11,17,187,6,4
17,11,187,6,4
29,7,203,6,3
11,19,209,13,8
17,13,221,12,7
13,19,247,10,6
11,23,253,12,7
17,17,289,8,6
29,11,319,13,9
23,17,391,13,8
17,23,391,13,8
37,11,407,13,8
23,19,437,15,9
13,37,481,16,10
17,29,493,15,9
31,19,589,18,12
37,17,629,10,7
29,23,667,14,9
41,17,697,15,10
17,41,697,15,10
31,23,713,17,11
43,19,817,19,12
29,29,841,19,13
37,23,851,16,10
29,31,899,13,8
41,23,943,16,10
43,23,989,18,11
23,47,1081,22,15
41,29,1189,21,14
23,59,1357,19,12
29,47,1363,17,11
29,53,1537,22,15
53,29,1537,22,15
29,59,1711,19,13
37,47,1739,20,13
53,37,1961,22,14
53,41,2173,24,16
41,53,2173,24,16
53,47,2491,22,15
47,53,2491,22,15
59,43,2537,25,17
47,59,2773,23,15
53,53,2809,23,15
79,37,2923,18,12
67,47,3149,25,16
71,47,3337,27,18
61,59,3599,20,13
71,61,4331,25,17
71,67,4757,21,15
61,83,5063,26,18
59,89,5251,25,17
73,79,5767,23,16
131,47,6157,31,21
107,59,6313,29,20
97,67,6499,27,18
53,127,6731,26,18
67,101,6767,27,18
79,89,7031,27,18
109,73,7957,30,20
67,127,8509,32,22
149,67,9983,22,16
79,127,10033,33,23
61,179,10919,27,18
97,113,10961,34,24
103,107,11021,31,21
157,71,11147,28,20
89,127,11303,28,19
107,107,11449,30,20
97,127,12319,32,23
127,97,12319,32,23
127,101,12827,32,23
83,157,13031,31,21
73,179,13067,32,22
127,103,13081,34,24
113,131,14803,33,23
151,103,15553,36,25
97,167,16199,32,22
149,109,16241,33,22
101,167,16867,34,24
113,151,17063,34,24
191,97,18527,36,26
149,131,19519,26,19
157,127,19939,34,24
149,137,20413,28,20
97,229,22213,35,24
251,89,22339,33,23
251,101,25351,35,25
149,181,26969,40,28
163,167,27221,39,27
251,113,28363,35,25
173,173,29929,38,26
149,223,33227,40,29
149,241,35909,41,29
251,151,37901,41,29
223,173,38579,38,27
367,109,40003,39,28
227,179,40633,41,29
149,307,45743,35,25
263,193,50759,41,29
157,337,52909,41,28
257,211,54227,41,29
307,179,54953,43,30
211,293,61823,40,28
241,277,66757,46,33
317,211,66887,44,32
307,233,71531,43,31
293,269,78817,37,27
277,331,91687,39,28
337,293,98741,46,32
223,457,101911,43,31
577,179,103283,43,30
401,271,108671,44,31
293,379,111047,44,31
373,307,114511,44,31
239,491,117349,41,28
419,307,128633,46,32
367,373,136891,46,33
397,359,142523,47,34
367,397,145699,46,33
251,599,150349,50,36
331,467,154577,50,36
379,409,155011,47,34
223,709,158107,48,35
479,331,158549,50,36
379,443,167897,51,37
307,641,196787,48,34
419,479,200701,49,35
487,461,224507,47,34
593,397,235421,51,36
433,547,236851,48,34
619,397,245743,47,33
877,331,290287,50,36
541,541,292681,41,31
479,659,315661,54,39
431,739,318509,53,38
751,439,329689,55,40
587,577,338699,48,35
367,937,343879,49,35
421,821,345641,54,39
571,631,360301,49,35
1151,337,387887,47,34
907,433,392731,49,35
673,647,435431,52,37
1009,439,442951,52,38
431,1031,444361,55,39
757,631,477667,51,36
757,641,485237,53,37
863,601,518663,52,37
967,593,573431,55,40
457,1259,575363,55,40
1087,599,651113,49,36
653,1021,666713,59,43
787,853,671311,56,41
1171,593,694403,52,38
877,839,735803,55,40
751,1061,796811,57,41
