p,q,m,unknowns,carry_bits
7,5,35,0,0
7,11,77,6,3
11,7,77,6,3
17,7,119,8,5
7,17,119,8,5
11,11,121,10,6
11,13,143,10,7
13,11,143,10,7
13,13,169,11,7
11,17,187,6,4
17,11,187,6,4
17,13,221,12,7
13,17,221,12,7
19,13,247,10,6
17,17,289,8,6
11,29,319,13,9
19,17,323,9,6
17,19,323,9,6
13,29,377,14,9
29,17,493,15,9
17,29,493,15,9
23,23,529,19,13
17,37,629,10,7
23,29,667,14,9
29,29,841,19,13
23,37,851,16,10
41,23,943,16,10
43,23,989,18,11
29,47,1363,17,11
47,29,1363,17,11
37,41,1517,17,11
53,29,1537,22,15
37,43,1591,19,12
23,71,1633,22,14
53,31,1643,19,13
59,29,1711,19,13
31,59,1829,18,11
67,29,1943,19,12
43,47,2021,21,13
37,61,2257,26,18
31,79,2449,25,17
67,41,2747,19,13
79,37,2923,18,12
37,83,3071,18,12
89,37,3293,25,16
47,71,3337,27,18
59,59,3481,26,18
67,53,3551,23,15
79,53,4187,26,18
59,71,4189,28,19
71,61,4331,25,17
61,73,4453,27,18
67,67,4489,17,13
67,73,4891,19,14
73,71,5183,23,16
89,59,5251,25,17
79,67,5293,24,16
83,67,5561,25,17
97,61,5917,27,18
79,83,6557,29,19
101,71,7171,29,20
53,137,7261,30,20
97,79,7663,26,17
61,127,7747,23,15
107,79,8453,33,23
127,67,8509,32,22
97,101,9797,34,24
79,127,10033,33,23
83,127,10541,30,20
79,149,11771,26,18
113,107,12091,28,19
97,137,13289,33,22
113,127,14351,32,23
89,163,14507,32,22
211,73,15403,32,22
139,127,17653,37,26
193,101,19493,37,26
127,163,20701,38,27
163,127,20701,38,27
223,103,22969,37,26
127,197,25019,34,24
179,163,29177,39,27
131,223,29213,39,27
179,191,34189,41,29
127,271,34417,41,29
167,223,37241,42,30
179,223,39917,41,29
167,269,44923,35,25
179,257,46003,35,25
193,251,48443,36,25
223,223,49729,43,31
331,157,51967,39,27
137,401,54937,44,31
293,211,61823,40,28
281,227,63787,39,27
191,347,66277,45,32
307,233,71531,43,31
367,197,72299,42,30
359,223,80057,45,32
199,419,83381,45,32
353,239,84367,41,29
307,293,89951,40,29
283,337,95371,40,29
331,307,101617,47,33
431,251,108181,46,33
389,293,113977,46,32
479,257,123103,45,32
449,281,126169,48,34
241,541,130381,46,32
409,331,135379,47,34
367,419,153773,48,34
389,419,162991,46,33
307,547,167929,46,33
419,431,180589,49,35
379,499,189121,51,37
389,521,202669,50,35
593,419,248467,49,35
797,367,292499,51,37
701,431,302131,51,37
523,593,310139,42,31
541,607,328387,48,35
599,593,355207,48,35
691,547,377977,50,36
389,1009,392501,50,35
487,809,393983,51,37
541,797,431177,56,40
491,881,432571,51,37
479,937,448823,51,37
449,1049,471001,56,40
733,673,493309,54,38
641,811,519851,51,36
577,1061,612197,48,35
809,821,664189,57,41
1249,557,695693,54,39
953,809,770977,55,39
839,967,811313,57,41
743,1103,819529,59,42
1531,557,852767,57,41
1087,787,855469,58,41
1301,907,1180007,59,43
827,1543,1276061,62,45
977,1307,1276939,60,44
1087,1193,1296791,51,38
1693,787,1332391,59,43
1213,1151,1396163,56,41
1229,1181,1451449,58,42
1213,1217,1476221,57,41
1201,1259,1512059,55,40
1481,1103,1633543,61,44
1087,1567,1703329,62,44
719,2411,1733509,63,45
2309,769,1775621,62,44
1103,1619,1785757,62,44
1949,929,1810621,60,43
1543,1237,1908691,60,43
1741,1429,2487889,66,48
1567,1709,2678003,63,46
1721,1721,2961841,63,45
1151,2579,2968429,61,44
1657,1931,3199667,63,46
1823,1801,3283223,64,47
1439,2557,3679523,64,46
2111,2027,4278997,70,51
1987,2267,4504529,71,52
2099,2411,5060689,62,46
2333,2237,5218921,61,45
1993,2647,5275471,68,50
4013,1361,5461693,66,47
3691,1543,5695213,66,47
3413,1721,5873773,69,50
4091,1543,6312413,70,51
1973,3331,6572063,68,50
1801,3691,6647491,68,50
1433,5471,7839943,68,49
2447,3671,8982937,75,55
2539,3691,9371449,73,53
3613,2897,10466861,72,52
3203,3527,11296981,71,51
4211,2939,12376129,71,52
3229,3907,12615703,72,53
2099,6823,14321477,74,53
4567,3167,14463689,75,54
4099,3539,14506361,74,53
3571,4259,15208889,74,53
3659,4889,17888851,76,56
4177,4421,18466517,65,49
5879,3491,20523589,77,56
5237,4397,23027089,75,55
6217,3917,24351989,77,56
6857,4201,28806257,79,57
5779,5077,29339983,76,55
6073,5189,31512797,79,57
8999,3761,33845239,79,58
5897,5987,35305339,78,57
7499,4783,35867717,83,61
5981,6043,36143183,81,60
4201,8803,36981403,68,52
6899,5471,37744429,81,59
5557,6899,38337743,80,59
6863,5843,40100509,83,61
4783,9173,43874459,76,56
5647,9127,51540169,84,61
5693,9091,51755063,80,58
11047,4759,52572673,83,60
10091,5449,54985859,83,61
5689,10313,58670657,83,60
8849,6761,59828089,84,61
10399,6599,68623001,88,65
5953,12323,73358819,84,62
7867,10651,83791417,87,64
11887,7177,85312999,85,63
10979,7933,87096407,81,59
11743,7717,90620731,82,60
15901,6619,105248719,84,62
12539,8707,109177073,89,65
11941,9767,116627747,85,62
11777,10429,122822333,87,63
16691,8677,144827807,77,59
13687,11197,153253339,89,66
7307,21683,158437681,91,67
10973,14657,160831261,92,68
8527,19051,162447877,85,64
7681,21467,164888027,87,64
16691,10099,168562409,91,68
21269,8287,176256203,87,65
14107,13003,183433321,88,64
15313,13367,204688871,89,66
30011,8237,247200607,90,66
14683,16927,248539141,95,70
19889,12853,255633317,94,69
13963,20323,283770049,96,71
28163,10487,295345381,94,69
18917,16033,303296261,97,72
21059,14731,310220129,96,71
9941,33071,328758811,88,67
17929,19009,340812361,97,73
13883,24877,345367391,92,68
31219,12277,383275663,92,68
24373,16603,404664919,97,72
31573,13807,435928411,93,69
12347,36887,455443789,100,74
30029,15227,457251583,94,70
21401,22003,470886203,98,73
16567,29663,491426921,98,72
15227,35831,545598637,103,77
26141,26759,699507019,99,74
32401,28403,920285603,99,74
44129,22853,1008480037,104,77
27103,38317,1038505651,101,75
34537,34649,1196672513,97,75
47137,25741,1213353517,108,81
49193,25147,1237056371,105,79
41719,29983,1250860777,106,79
27893,53047,1479639971,106,80
38543,38593,1487489999,103,78
57809,26497,1531765073,106,79
42499,38011,1615429489,109,81
34949,48847,1707153803,107,80
48049,38447,1847339903,106,79
49757,37321,1856980997,109,81
26669,71947,1918754543,106,79
45259,49727,2250594293,111,83
46457,50909,2365079413,110,82
71437,35339,2524512143,102,78
48337,53897,2605219289,113,85
84809,32297,2739076273,113,85
87911,33427,2938600997,109,82
62143,54751,3402391393,112,84
49363,70139,3462271457,113,84
53939,68437,3691423343,112,84
78277,47507,3718705439,112,84
80173,52609,4217821357,113,84
90313,49109,4435181117,115,86
83639,61211,5119626829,119,90
100183,60607,6071791081,116,87
88643,71789,6363592327,113,86
81611,83399,6806275789,119,89
96797,71503,6921275891,117,88
83497,87671,7320265487,118,89
69341,106957,7416505337,120,90
105929,72379,7667035091,118,89
73351,104579,7670974229,120,90
100291,93553,9382523923,120,91
80677,120889,9752961853,123,93
59651,165799,9890076149,121,91
107827,91909,9910271743,119,90
82261,131543,10820858723,116,88
107057,107981,11560121917,119,89
93329,128377,11981297033,123,93
67139,179651,12061588489,120,91
118633,102593,12170915369,120,90
157841,81181,12813690221,119,90
181273,95413,17295800749,126,95
159869,113131,18086139839,124,94
152441,126001,19207718441,127,96
111593,177739,19834428227,126,96
180503,111109,20055507827,124,94
138139,147919,20433382741,120,92
