p,q,m,unknowns,carry_bits
5,7,35,0,0
7,7,49,4,2
5,13,65,10,7
11,7,77,6,3
17,5,85,10,6
13,7,91,0,0
7,17,119,8,5
11,11,121,10,6
7,19,133,12,8
19,7,133,12,8
13,11,143,10,7
7,23,161,11,7
17,11,187,6,4
11,17,187,6,4
29,7,203,6,3
11,19,209,13,8
17,13,221,12,7
19,13,247,10,6
23,11,253,12,7
17,17,289,8,6
13,23,299,13,9
19,17,323,9,6
31,11,341,13,8
29,13,377,14,9
17,23,391,13,8
31,13,403,13,9
37,11,407,13,8
23,19,437,15,9
19,23,437,15,9
17,29,493,15,9
29,17,493,15,9
29,19,551,16,11
19,29,551,16,11
17,37,629,10,7
29,23,667,14,9
19,37,703,12,8
37,19,703,12,8
17,47,799,16,10
43,19,817,19,12
29,29,841,19,13
37,23,851,16,10
47,19,893,18,11
29,31,899,13,8
23,41,943,16,10
29,37,1073,22,15
23,47,1081,22,15
29,41,1189,21,14
41,29,1189,21,14
53,23,1219,19,13
41,31,1271,19,13
29,47,1363,17,11
37,37,1369,19,13
47,31,1457,20,13
41,37,1517,17,11
53,29,1537,22,15
41,41,1681,23,15
47,41,1927,20,13
29,67,1943,19,12
37,53,1961,22,14
73,29,2117,24,16
41,53,2173,24,16
73,31,2263,22,15
53,43,2279,22,15
41,59,2419,22,15
37,67,2479,14,10
37,71,2627,19,13
29,97,2813,22,14
67,43,2881,22,15
41,73,2993,22,15
41,79,3239,23,15
71,47,3337,27,18
83,43,3569,25,16
59,61,3599,20,13
59,67,3953,25,16
37,107,3959,22,14
67,61,4087,22,14
89,47,4183,26,18
73,59,4307,26,18
67,67,4489,17,13
53,89,4717,27,18
67,71,4757,21,15
61,79,4819,26,18
73,67,4891,19,14
97,53,5141,27,18
71,73,5183,23,16
41,127,5207,24,16
59,89,5251,25,17
79,67,5293,24,16
53,101,5353,26,17
79,71,5609,25,17
107,53,5671,24,16
53,109,5777,28,19
79,79,6241,30,20
53,127,6731,26,18
43,157,6751,28,19
71,107,7597,28,18
73,127,9271,30,21
53,179,9487,31,22
89,107,9523,30,21
163,59,9617,33,23
73,137,10001,26,19
83,127,10541,30,20
79,139,10981,29,20
127,89,11303,28,19
97,127,12319,32,23
131,97,12707,31,21
137,101,13837,34,23
73,191,13943,31,21
127,113,14351,32,23
137,107,14659,33,23
163,97,15811,33,23
83,191,15853,33,22
149,107,15943,32,22
107,149,15943,32,22
127,127,16129,31,21
131,127,16637,37,26
157,109,17113,38,27
101,173,17473,39,28
97,197,19109,36,25
199,97,19303,33,23
113,181,20453,35,24
233,89,20737,39,28
179,127,22733,38,27
103,223,22969,37,26
97,257,24929,39,27
157,163,25591,36,25
191,137,26167,35,24
113,239,27007,34,24
191,149,28459,35,24
211,137,28907,36,25
157,191,29987,35,24
127,239,30353,35,24
239,127,30353,35,24
191,163,31133,39,27
137,239,32743,35,24
307,107,32849,43,31
227,149,33823,39,28
283,127,35941,40,28
149,257,38293,33,24
173,223,38579,38,27
211,191,40301,40,28
181,223,40363,38,27
149,271,40379,30,22
233,179,41707,39,28
281,149,41869,38,27
211,223,47053,39,27
257,191,49087,35,25
263,191,50233,43,30
239,211,50429,40,28
173,313,54149,43,30
251,223,55973,41,29
223,263,58649,44,31
257,239,61423,39,27
211,293,61823,40,28
149,431,64219,40,28
479,139,66581,46,33
193,353,68129,45,32
307,223,68461,44,31
211,347,73217,46,33
191,397,75827,42,30
251,307,77057,46,33
331,233,77123,43,31
223,349,77827,44,32
251,347,87097,46,33
163,541,88183,39,28
331,271,89701,41,29
197,499,98303,40,28
367,281,103127,44,31
283,367,103861,45,31
347,307,106529,47,33
509,233,118597,42,29
379,331,125449,48,34
607,211,128077,46,32
431,311,134041,51,37
419,331,138689,50,36
251,569,142819,47,34
379,379,143641,50,36
331,467,154577,50,36
653,251,163903,47,34
311,541,168251,43,31
419,419,175561,51,37
419,431,180589,49,35
401,521,208921,51,36
347,653,226591,48,34
401,577,231377,52,37
577,421,242917,49,34
521,491,255811,48,34
463,557,257891,47,33
757,359,271763,51,37
521,541,281861,40,30
337,883,297571,51,37
877,359,314843,52,38
631,503,317393,55,40
641,499,319859,50,36
673,479,322367,50,36
509,641,326269,52,37
521,641,333961,51,37
503,683,343549,50,35
613,577,353701,49,35
607,587,356309,50,36
541,659,356519,47,34
409,941,384869,53,38
587,661,388007,47,34
673,587,395051,52,37
719,557,400483,52,37
1061,383,406363,53,38
757,541,409537,56,40
593,743,440599,53,38
433,1031,446423,52,37
653,691,451223,52,37
617,821,506557,54,38
929,557,517453,54,38
743,709,526787,56,41
577,971,560267,56,41
911,659,600349,58,42
839,719,603241,58,42
751,857,643607,55,40
593,1091,646963,46,34
1087,607,659809,54,39
1381,503,694643,55,40
1049,691,724859,51,37
829,877,727033,58,42
691,1069,738679,51,37
809,967,782303,53,38
1277,631,805787,57,41
809,1061,858349,58,41
1021,887,905627,55,40
863,1093,943259,57,41
1123,853,957919,56,40
839,1181,990859,57,41
1093,929,1015397,58,41
599,1733,1038067,55,39
907,1217,1103819,59,43
877,1361,1193597,61,44
1447,857,1240079,59,43
941,1451,1365391,57,41
1087,1409,1531583,55,40
1361,1151,1566511,55,40
1091,1459,1591769,64,46
1181,1361,1607341,62,44
1987,809,1607483,58,42
1259,1381,1738679,60,43
1409,1237,1742933,63,45
2111,839,1771129,62,44
1361,1319,1795159,60,43
1297,1399,1814503,59,42
907,2017,1829419,58,42
1439,1327,1909553,62,44
1597,1381,2205457,66,48
2063,1087,2242481,52,39
1657,1361,2255177,67,49
1459,1549,2259991,64,47
1931,1223,2361613,66,48
1223,1949,2383627,64,47
1823,1319,2404537,66,48
1117,2267,2532239,55,41
1901,1361,2587261,64,46
1753,1657,2904721,67,49
1451,2053,2978903,60,44
1439,2081,2994559,59,43
2617,1181,3090677,61,44
1931,1663,3211253,65,47
1009,3229,3258061,65,47
1913,1709,3269317,65,47
2543,1471,3740753,68,49
1907,2029,3869303,59,42
2237,1741,3894617,67,48
1987,2017,4007779,59,42
1453,2797,4064041,66,47
2521,1777,4479817,71,52
3271,1381,4517251,68,50
2203,2111,4650533,55,41
2063,2333,4812979,58,43
3631,1361,4941791,67,49
2333,2161,5041613,61,45
2609,1949,5084941,70,51
1693,3019,5111167,67,49
2203,2459,5417177,67,49
3323,1657,5506211,67,49
2087,2671,5574377,66,48
2083,2689,5601187,63,46
1409,4049,5705041,68,49
4253,1423,6052019,63,46
2081,3163,6582203,67,48
1427,4679,6676933,70,50
3331,2027,6751937,70,51
2789,2579,7192831,67,48
3457,2203,7615771,68,49
3967,1973,7826891,64,46
1567,5303,8309801,70,50
3299,2521,8316779,67,48
2503,3511,8788033,74,54
4931,1783,8791973,72,52
3527,2767,9759209,73,53
4007,2503,10029521,75,55
3863,2917,11268371,72,53
3769,2999,11303231,68,49
3511,3229,11337019,68,49
2287,4993,11418991,67,49
4877,2389,11651153,71,52
2539,4967,12611213,75,54
4397,2903,12764491,73,53
2531,5443,13776233,75,54
