p,q,m,unknowns,carry_bits
7,7,49,4,2
5,11,55,4,2
11,5,55,4,2
11,7,77,6,3
7,13,91,4,2
17,7,119,8,5
13,11,143,10,7
11,17,187,6,4
17,11,187,6,4
11,19,209,13,8
19,11,209,13,8
13,17,221,12,7
13,19,247,10,6
13,23,299,13,9
19,17,323,9,6
29,13,377,14,9
17,23,391,13,8
19,23,437,15,9
13,37,481,16,10
17,29,493,15,9
31,17,527,16,11
29,23,667,14,9
23,29,667,14,9
41,17,697,15,10
31,23,713,17,11
23,31,713,17,11
59,13,767,14,9
37,23,851,16,10
17,53,901,18,11
23,41,943,16,10
37,29,1073,22,15
29,37,1073,22,15
23,47,1081,22,15
41,29,1189,21,14
53,23,1219,19,13
29,43,1247,19,13
59,23,1357,19,12
47,29,1363,17,11
37,37,1369,19,13
53,31,1643,19,13
47,41,1927,20,13
59,37,2183,23,16
59,41,2419,22,15
67,37,2479,14,10
41,61,2501,25,17
59,47,2773,23,15
71,43,3053,20,13
43,71,3053,20,13
53,61,3233,25,17
53,67,3551,23,15
43,89,3827,22,14
61,67,4087,22,14
59,71,4189,28,19
37,127,4699,26,18
53,89,4717,27,18
73,71,5183,23,16
53,101,5353,26,17
79,71,5609,25,17
59,109,6431,27,19
101,71,7171,29,20
59,127,7493,25,16
61,127,7747,23,15
89,97,8633,32,22
97,97,9409,34,24
97,103,9991,31,22
79,127,10033,33,23
113,89,10057,34,24
149,71,10579,28,20
101,127,12827,32,23
97,137,13289,33,22
127,107,13589,33,23
83,167,13861,33,22
103,137,14111,32,22
191,79,15089,34,23
83,191,15853,33,22
211,79,16669,38,27
173,103,17819,36,26
191,97,18527,36,26
137,137,18769,30,22
127,149,18923,34,24
191,101,19291,35,25
149,149,22201,34,24
113,197,22261,34,23
157,149,23393,34,24
131,223,29213,39,27
167,229,38243,38,27
173,239,41347,40,29
223,191,42593,39,27
197,223,43931,40,29
347,127,44069,38,26
211,211,44521,39,27
251,181,45431,39,28
307,149,45743,35,25
167,307,51269,42,29
233,223,51959,39,28
359,149,53491,40,28
269,241,64829,41,28
311,211,65621,46,33
211,347,73217,46,33
419,191,80029,45,32
347,233,80851,43,31
179,487,87173,46,33
397,223,88531,41,29
353,251,88603,41,29
307,293,89951,40,29
409,251,102659,44,32
439,241,105799,43,31
251,461,115711,43,31
193,659,127187,44,31
353,367,129551,44,31
409,347,141923,47,34
541,311,168251,43,31
499,353,176147,45,32
479,373,178667,44,31
487,401,195287,45,32
409,479,195911,45,32
313,641,200633,51,36
607,331,200917,51,36
409,557,227813,49,34
719,317,227923,48,34
563,409,230267,48,34
499,463,231037,49,35
347,733,254351,48,34
367,719,263873,55,40
709,383,271547,50,36
487,587,285869,53,38
541,541,292681,41,31
457,709,324013,52,37
659,541,356519,47,34
577,619,357163,47,34
821,449,368629,53,38
641,769,492929,56,40
907,557,505199,52,37
709,733,519697,55,39
877,631,553387,54,39
641,947,607027,54,39
787,787,619369,57,41
821,787,646127,54,39
853,821,700313,59,43
1627,439,714253,55,39
761,1019,775459,52,37
839,929,779431,52,37
887,947,839989,56,40
1151,743,855193,60,43
1163,739,859457,60,43
907,977,886139,55,40
967,937,906079,55,40
937,967,906079,55,40
1277,727,928379,56,40
631,1549,977419,56,40
683,1543,1053869,61,44
1951,617,1203767,59,43
907,1361,1234427,58,42
1777,751,1334527,59,43
967,1381,1335427,60,44
