p,q,m,unknowns,carry_bits
5,5,25,4,2
7,5,35,0,0
11,5,55,4,2
5,11,55,4,2
13,5,65,10,7
11,7,77,6,3
7,11,77,6,3
11,11,121,10,6
11,13,143,10,7
13,11,143,10,7
13,13,169,11,7
11,17,187,6,4
11,19,209,13,8
13,17,221,12,7
11,23,253,12,7
17,17,289,8,6
13,23,299,13,9
11,29,319,13,9
29,11,319,13,9
19,17,323,9,6
29,13,377,14,9
23,17,391,13,8
23,19,437,15,9
13,37,481,16,10
17,29,493,15,9
29,17,493,15,9
23,23,529,19,13
29,19,551,16,11
19,29,551,16,11
37,17,629,10,7
17,37,629,10,7
31,23,713,17,11
29,29,841,19,13
37,23,851,16,10
23,37,851,16,10
19,47,893,18,11
23,41,943,16,10
23,47,1081,22,15
47,23,1081,22,15
37,31,1147,19,13
23,53,1219,19,13
29,43,1247,19,13
31,41,1271,19,13
47,29,1363,17,11
29,47,1363,17,11
31,47,1457,20,13
41,37,1517,17,11
53,29,1537,22,15
23,67,1541,21,13
43,37,1591,19,12
29,59,1711,19,13
47,37,1739,20,13
37,47,1739,20,13
47,41,1927,20,13
67,31,2077,24,16
73,29,2117,24,16
47,47,2209,25,17
29,79,2291,22,15
59,41,2419,22,15
67,37,2479,14,10
37,67,2479,14,10
53,47,2491,22,15
37,71,2627,19,13
53,53,2809,23,15
41,71,2911,19,13
53,61,3233,25,17
43,79,3397,25,16
53,67,3551,23,15
61,59,3599,20,13
41,89,3649,26,17
47,89,4183,26,18
67,67,4489,17,13
59,79,4661,28,19
59,83,4897,29,20
71,71,5041,21,15
79,67,5293,24,16
67,79,5293,24,16
67,83,5561,25,17
79,71,5609,25,17
97,59,5723,24,16
61,97,5917,27,18
59,101,5959,24,16
67,89,5963,24,17
79,83,6557,29,19
71,97,6887,26,17
83,83,6889,29,19
173,43,7439,28,19
71,107,7597,28,18
97,79,7663,26,17
79,97,7663,26,17
109,71,7739,27,18
89,89,7921,29,19
79,101,7979,27,18
113,71,8023,28,19
97,83,8051,27,18
97,89,8633,32,22
67,131,8777,21,16
127,73,9271,30,21
107,89,9523,30,21
149,67,9983,22,16
103,101,10403,27,18
127,83,10541,30,20
83,127,10541,30,20
113,97,10961,34,24
71,163,11573,28,19
113,113,12769,32,22
61,211,12871,31,22
149,97,14453,34,23
191,79,15089,34,23
101,157,15857,34,23
97,167,16199,32,22
79,211,16669,38,27
167,101,16867,34,24
109,157,17113,38,27
89,193,17177,38,27
127,137,17399,33,23
157,113,17741,38,27
127,149,18923,34,24
149,131,19519,26,19
149,137,20413,28,20
127,167,21209,36,25
97,223,21631,35,25
223,97,21631,35,25
167,131,21877,33,23
179,127,22733,38,27
157,157,24649,40,28
191,131,25021,38,26
131,193,25283,37,26
223,127,28321,37,26
149,191,28459,35,24
151,199,30049,38,26
197,163,32111,35,24
127,257,32639,35,24
179,191,34189,41,29
251,137,34387,39,28
157,223,35011,40,29
229,157,35953,41,29
167,223,37241,42,30
227,167,37909,41,29
239,163,38957,41,29
331,127,42037,38,26
307,151,46357,38,27
257,191,49087,35,25
149,331,49319,40,28
223,223,49729,43,31
331,157,51967,39,27
227,233,52891,39,28
179,307,54953,43,30
277,211,58447,41,29
239,251,59989,42,30
401,157,62957,42,29
223,293,65339,39,27
307,227,69689,46,33
239,317,75763,43,31
191,409,78119,43,31
157,499,78343,44,32
211,379,79969,45,32
233,373,86909,45,32
457,191,87287,43,31
227,419,95113,47,34
383,257,98431,44,31
277,373,103321,47,33
479,223,106817,47,34
307,367,112669,46,32
263,449,118087,45,32
397,317,125849,48,34
223,641,142943,48,35
367,397,145699,46,33
443,331,146633,50,36
373,401,149573,50,36
419,379,158801,51,37
467,359,167653,49,35
233,739,172187,48,35
409,431,176279,45,32
509,347,176623,44,31
659,277,182543,44,32
683,269,183727,43,31
397,467,185399,44,31
373,499,186127,45,32
419,449,188131,44,31
563,347,195361,46,33
373,541,201793,52,37
673,331,222763,47,33
487,479,233273,50,36
457,541,247237,51,36
751,331,248581,51,36
359,719,258121,51,36
461,587,270607,51,37
787,349,274663,50,36
443,631,279533,53,38
599,503,301297,54,39
593,541,320813,44,32
599,587,351613,49,35
373,953,355469,51,36
1087,337,366319,47,34
653,613,400289,55,39
941,439,413099,51,37
631,719,453689,54,38
719,673,483887,51,36
541,911,492851,52,37
439,1151,505289,56,40
863,599,516937,55,39
443,1193,528499,55,40
577,929,536033,58,42
1051,541,568591,42,32
821,709,582089,58,42
1061,631,669491,51,37
797,877,698969,59,43
1279,557,712403,52,38
839,853,715667,53,38
1399,521,728879,51,37
877,907,795439,55,40
1543,523,806989,59,42
1049,809,848641,59,42
877,1049,919973,58,41
691,1361,940451,56,40
569,1657,942833,59,42
839,1163,975757,58,41
1091,929,1013539,56,40
701,1487,1042387,56,40
797,1399,1115003,59,43
733,1543,1131019,60,44
1723,673,1159579,59,43
1523,769,1171187,58,42
1327,887,1177049,62,45
839,1493,1252627,60,44
929,1361,1264369,62,45
1277,1049,1339573,57,41
1187,1151,1366237,58,42
1153,1187,1368611,55,40
1049,1361,1427689,58,42
1693,877,1484761,60,43
1361,1171,1593731,61,44
1619,1033,1672427,59,42
2129,787,1675523,60,43
2113,857,1810841,63,45
1439,1277,1837603,60,43
1531,1249,1912219,60,43
1409,1361,1917649,63,45
1061,1931,2048791,60,43
2053,1117,2293201,53,40
1129,2203,2487187,55,41
1759,1559,2742281,64,46
2053,1423,2921419,60,44
2161,1361,2941121,63,46
1571,1973,3099583,60,43
3037,1049,3185813,67,48
1787,1861,3325607,63,46
3023,1151,3479473,67,48
1949,1811,3529639,62,45
1069,3329,3558701,65,46
2293,1579,3620647,63,45
1499,2503,3751997,66,47
2083,1847,3847301,66,47
2221,1777,3946717,67,48
2179,1951,4251229,70,51
1777,2503,4447831,67,49
2633,1693,4457669,70,51
2861,1571,4494631,67,49
1663,2879,4787777,71,52
1601,2999,4801399,67,49
2549,1931,4922119,67,49
2267,2237,5071279,58,43
1847,2797,5166059,66,48
1709,3079,5262011,67,49
1987,2677,5319199,68,50
3449,1579,5445971,65,47
2579,2203,5681537,67,49
2203,2663,5866589,66,48
2777,2203,6117731,63,46
2819,2213,6238447,63,46
2381,2777,6612037,70,50
3833,1759,6742247,66,48
2879,2503,7206137,70,50
2017,3739,7541563,63,45
3167,2521,7984007,69,50
4603,1777,8179531,68,49
2503,3449,8632847,72,53
3923,2203,8642369,75,55
4201,2063,8666663,52,40
1667,5381,8970127,72,53
3203,2963,9490489,74,54
3011,3163,9523793,75,55
5167,1861,9615787,71,52
2819,3511,9897509,72,52
2663,4073,10846399,68,49
1949,5623,10959227,68,49
2549,4339,11060111,68,50
3251,3911,12714661,73,53
1907,6959,13270813,74,54
6841,2029,13880389,74,54
2819,5077,14312063,71,51
3989,3593,14332477,73,53
4337,3407,14776159,73,53
6427,2543,16343861,73,52
3037,5843,17745191,74,54
4019,4457,17912683,75,55
5563,3299,18352337,78,57
4139,4463,18472357,63,47
4783,4019,19222877,78,57
4861,4049,19682189,77,56
4583,4327,19830641,69,51
3989,5227,20850503,75,55
5087,4133,21024571,72,53
3671,5953,21853463,73,53
4583,4919,22543777,74,54
4751,4751,22572001,75,55
7297,3251,23722547,72,52
8861,2767,24518387,71,52
5953,4201,25008553,74,54
2957,8597,25421329,80,58
7411,3449,25560539,76,56
5861,4409,25841149,79,57
4999,5227,26129773,78,56
4007,6599,26442193,79,58
5569,4861,27070909,77,55
9859,3137,30927683,76,55
3733,8887,33175171,76,55
6709,5381,36101129,83,61
4327,8419,36429013,69,52
5749,6823,39225427,80,59
6359,6571,41784989,81,59
7477,5791,43299307,76,55
12113,4019,48682147,79,58
10111,4889,49432679,77,57
7187,7321,52616027,80,59
10223,5171,52863133,83,60
5441,9811,53381651,82,60
10453,5347,55892191,82,60
9059,6449,58421491,79,57
7789,7817,60886613,83,61
8573,7723,66209279,81,59
5501,13147,72321647,85,63
12539,5903,74017717,85,62
9199,8081,74337119,85,63
6659,11329,75439811,84,62
11953,6547,78256291,83,61
16139,5107,82421873,86,63
10243,8779,89923297,84,62
8237,12239,100812643,86,63
12841,7933,101867653,87,64
15629,6521,101916709,86,63
10007,11047,110547329,89,65
14447,7993,115474871,84,62
13859,8363,115902817,89,65
8923,13877,123824471,86,63
10159,12379,125758261,87,63
8209,15473,127017857,91,67
10709,12377,132545293,87,63
10627,12517,133018159,85,62
8443,15859,133897537,89,65
9337,14891,139037267,90,67
13171,10687,140758477,91,67
11351,12401,140763751,88,65
17189,8269,142135841,73,56
12161,13049,158688889,91,67
16811,9721,163419731,81,61
12889,12889,166126321,91,67
15149,11579,175410271,88,65
17183,11057,189992431,87,65
11821,18757,221726497,95,70
18671,12263,228962473,92,67
12653,18839,238369867,92,68
24169,10061,243164309,96,71
22937,10937,250861969,93,68
17539,14533,254894287,93,69
20249,13291,269129459,93,69
16339,16493,269479127,95,71
17159,16127,276723193,97,72
24509,11369,278642821,96,71
15083,19181,289307023,95,71
15749,20921,329484829,96,71
14051,24859,349293809,94,69
20507,18191,373042837,96,72
25673,14591,374594743,93,69
19373,20551,398134523,92,69
14369,28949,415968181,96,71
25621,16871,432251891,96,71
22709,19373,439941457,101,75
12421,36187,449478727,98,73
21487,21313,457952431,96,71
19289,24733,477074837,98,72
28201,17891,504544091,97,72
20959,24917,522235403,98,73
24197,21611,522921367,97,72
18553,28901,536200253,99,73
33757,16301,550272857,104,78
18211,30881,562373891,101,76
20389,28429,579638881,103,77
21517,26987,580679279,100,75
43151,13931,601136581,102,76
18859,32579,614407361,102,76
26539,23719,629478541,101,75
24623,27337,673118951,99,74
21407,32321,691895647,97,72
30029,23159,695441611,96,71
25423,27941,710344043,99,74
32957,23531,775511167,97,73
27239,29153,794098567,98,73
27527,30211,831618197,101,75
20393,42169,859952417,104,77
31847,28789,916843283,102,77
48989,20873,1022547397,105,78
38891,26513,1031117083,102,76
34421,30853,1061991113,104,77
33083,36061,1193006063,91,70
33703,35507,1196692421,95,73
48119,24943,1200232217,108,81
23039,52433,1208003887,106,80
28579,43853,1253274887,105,79
33457,37991,1271064887,98,75
56359,23719,1336779121,107,80
22247,61001,1357089247,107,81
45707,34127,1559842789,104,78
42043,38993,1639382699,107,80
41341,40213,1662445633,112,84
34871,48661,1696857731,107,80
46889,36307,1702398923,107,80
35291,49003,1729364873,111,83
65239,26669,1739858891,105,79
35059,51787,1815600433,109,81
62119,30389,1887734291,106,80
66791,31531,2105987021,110,82
45841,46807,2145679687,107,80
42853,50497,2163947941,111,83
71471,30631,2189228201,112,84
49297,44867,2211808499,111,84
74441,30187,2247150467,111,84
55441,41729,2313497489,115,87
31013,75353,2336922589,112,84
40627,59407,2413528189,111,83
68963,36469,2515011647,103,79
61813,41843,2586441359,110,83
57383,46199,2651037217,112,84
69263,38317,2653950371,101,77
50033,61331,3068573923,107,80
68947,44617,3076208299,106,80
42641,73237,3122898917,110,83
48623,67843,3298730189,115,86
81101,41507,3366259207,113,85
49597,68903,3417382091,111,83
53681,68023,3651542663,112,84
53917,68699,3704043983,112,84
51787,71647,3710383189,114,85
61927,65141,4033986707,112,85
47087,89413,4210189931,111,83
38431,111913,4300928503,114,86
64433,68261,4398261013,119,90
55837,79531,4440772447,115,87
77153,58427,4507818331,115,87
74279,65381,4856435299,114,86
70639,74551,5266208089,110,84
54443,99089,5394702427,117,89
50873,113489,5773525897,117,88
59561,97259,5792843299,113,85
54401,108707,5913769507,114,86
