p,q,m,unknowns,carry_bits
11,5,55,4,2
5,13,65,10,7
11,7,77,6,3
7,11,77,6,3
7,13,91,4,2
17,7,119,8,5
11,13,143,10,7
13,11,143,10,7
17,11,187,6,4
11,17,187,6,4
19,11,209,13,8
11,19,209,13,8
13,17,221,12,7
11,23,253,12,7
17,17,289,8,6
17,19,323,9,6
19,17,323,9,6
31,11,341,13,8
13,29,377,14,9
29,13,377,14,9
23,17,391,13,8
37,11,407,13,8
19,23,437,15,9
17,31,527,16,11
23,23,529,19,13
29,19,551,16,11
19,29,551,16,11
47,13,611,16,11
17,37,629,10,7
29,23,667,14,9
37,19,703,12,8
31,23,713,17,11
29,29,841,19,13
23,37,851,16,10
29,31,899,13,8
17,53,901,18,11
23,43,989,18,11
29,37,1073,22,15
37,31,1147,19,13
41,29,1189,21,14
29,41,1189,21,14
53,23,1219,19,13
19,67,1273,14,10
23,59,1357,19,12
37,37,1369,19,13
37,41,1517,17,11
41,37,1517,17,11
23,71,1633,22,14
37,47,1739,20,13
43,41,1763,19,12
41,43,1763,19,12
53,37,1961,22,14
59,37,2183,23,16
43,53,2279,22,15
41,59,2419,22,15
53,47,2491,22,15
71,37,2627,19,13
41,67,2747,19,13
41,71,2911,19,13
37,83,3071,18,12
37,89,3293,25,16
67,53,3551,23,15
37,97,3589,26,17
71,53,3763,23,15
67,59,3953,25,16
79,53,4187,26,18
71,59,4189,28,19
79,59,4661,28,19
83,59,4897,29,20
101,53,5353,26,17
71,79,5609,25,17
97,59,5723,24,16
127,47,5969,27,18
47,137,6439,27,18
97,79,7663,26,17
127,61,7747,23,15
67,127,8509,32,22
89,97,8633,32,22
59,149,8791,31,22
149,59,8791,31,22
113,83,9379,29,20
97,101,9797,34,24
149,67,9983,22,16
137,79,10823,28,20
97,113,10961,34,24
113,101,11413,33,23
89,139,12371,33,23
223,59,13157,31,21
137,101,13837,34,23
113,131,14803,33,23
167,101,16867,34,24
241,71,17111,35,25
97,179,17363,35,25
149,127,18923,34,24
139,139,19321,29,21
157,127,19939,34,24
211,97,20467,33,23
157,149,23393,34,24
269,89,23941,34,24
137,179,24523,32,23
227,113,25651,35,25
149,179,26671,36,25
163,173,28199,35,24
127,223,28321,37,26
179,163,29177,39,27
233,173,40309,40,28
151,277,41827,35,25
331,127,42037,38,26
307,137,42059,36,26
211,223,47053,39,27
179,263,47077,37,26
277,173,47921,38,27
157,317,49769,43,30
239,211,50429,40,28
269,191,51379,39,27
191,271,51761,42,29
257,211,54227,41,29
173,359,62107,41,29
131,487,63797,41,28
167,383,63961,43,30
223,307,68461,44,31
311,227,70597,46,33
409,179,73211,42,30
277,269,74513,38,28
313,239,74807,43,31
373,211,78703,43,31
347,227,78769,46,33
311,271,84281,42,30
293,293,85849,43,31
421,211,88831,40,28
317,311,98587,45,32
347,311,107917,47,33
269,409,110021,47,33
599,211,126389,46,32
317,409,129653,45,31
191,701,133891,48,35
293,487,142691,47,34
521,293,152653,41,30
641,239,153199,46,33
257,691,177587,43,31
487,379,184573,46,32
421,461,194081,47,33
631,331,208861,50,35
439,479,210281,49,35
727,293,213011,49,35
457,491,224387,48,35
631,373,235363,48,34
349,683,238367,48,34
439,547,240133,50,35
503,541,272123,50,36
743,367,272681,53,38
521,547,284987,37,28
479,673,322367,50,36
449,719,322831,51,37
479,701,335779,51,37
