p,q,m,unknowns,carry_bits
7,7,49,4,2
7,11,77,6,3
5,17,85,10,6
17,7,119,8,5
11,11,121,10,6
19,7,133,12,8
7,23,161,11,7
11,17,187,6,4
29,7,203,6,3
19,11,209,13,8
13,17,221,12,7
13,19,247,10,6
23,11,253,12,7
17,17,289,8,6
29,11,319,13,9
19,17,323,9,6
17,19,323,9,6
17,23,391,13,8
13,31,403,13,9
23,19,437,15,9
11,41,451,13,8
29,17,493,15,9
37,17,629,10,7
17,37,629,10,7
23,29,667,14,9
29,23,667,14,9
41,17,697,15,10
29,29,841,19,13
23,37,851,16,10
37,23,851,16,10
29,31,899,13,8
17,53,901,18,11
29,37,1073,22,15
47,23,1081,22,15
53,23,1219,19,13
47,29,1363,17,11
37,37,1369,19,13
29,53,1537,22,15
41,41,1681,23,15
37,47,1739,20,13
31,59,1829,18,11
67,29,1943,19,12
37,53,1961,22,14
29,71,2059,22,15
53,47,2491,22,15
43,67,2881,22,15
59,53,3127,22,15
53,59,3127,22,15
31,103,3193,25,17
89,37,3293,25,16
31,107,3317,24,16
67,59,3953,25,16
61,67,4087,22,14
79,59,4661,28,19
131,37,4847,17,12
97,53,5141,27,18
127,41,5207,24,16
79,67,5293,24,16
127,47,5969,27,18
59,139,8201,35,25
83,101,8383,29,20
109,79,8611,29,20
97,97,9409,34,24
67,149,9983,22,16
79,127,10033,33,23
131,79,10349,29,20
113,101,11413,33,23
71,179,12709,33,22
79,167,13193,35,24
89,149,13261,34,23
127,137,17399,33,23
181,97,17557,38,27
79,223,17617,39,28
149,131,19519,26,19
197,101,19897,37,26
137,149,20413,28,20
163,127,20701,38,27
113,191,21583,36,26
149,181,26969,40,28
211,131,27641,39,27
211,139,29329,40,28
113,263,29719,36,25
241,127,30607,32,22
137,239,32743,35,24
163,211,34393,42,30
107,331,35417,43,31
157,251,39407,39,28
163,251,40913,42,30
281,151,42431,35,25
307,149,45743,35,25
311,149,46339,36,26
257,181,46517,37,26
157,337,52909,41,28
211,263,55493,42,29
379,149,56471,40,28
293,193,56549,41,28
223,257,57311,40,28
229,277,63433,44,31
271,277,75067,34,25
281,281,78961,37,27
229,373,85417,43,30
251,397,99647,43,31
331,307,101617,47,33
263,431,113353,47,33
389,307,119423,43,30
541,229,123889,47,33
367,347,127349,45,31
227,563,127801,46,32
347,379,131513,50,36
331,457,151267,47,34
277,547,151519,39,29
307,499,153193,49,35
607,271,164497,47,34
599,359,215041,52,37
401,541,216941,50,35
389,631,245459,48,34
631,397,250507,49,35
499,509,253991,47,34
503,509,256027,48,35
389,733,285137,55,40
751,397,298147,51,37
547,709,387823,47,34
673,607,408511,52,37
797,541,431177,56,40
509,853,434177,54,39
587,769,451403,52,37
499,971,484529,50,35
863,563,485869,53,37
701,709,497009,55,39
557,919,511883,52,37
881,641,564721,58,42
821,701,575521,57,41
487,1237,602419,55,40
541,1361,736301,53,38
1093,683,746519,52,38
577,1361,785297,55,40
1361,593,807073,59,42
787,1031,811397,59,42
1423,577,821071,56,40
1151,757,871307,57,41
1459,683,996497,60,43
1733,577,999941,59,42
1103,937,1033511,55,39
743,1409,1046887,55,39
739,1423,1051597,62,45
659,1637,1078783,59,43
1091,1061,1157551,45,34
1151,1049,1207399,50,37
701,1747,1224647,59,43
1193,1063,1268159,50,37
1373,937,1286501,60,43
1049,1543,1618607,60,43
2221,739,1641319,59,42
1297,1433,1858601,63,45
2063,929,1916527,59,42
