p,q,m,unknowns,carry_bits
5,11,55,4,2
7,11,77,6,3
11,7,77,6,3
13,7,91,0,0
5,23,115,8,5
7,17,119,8,5
17,7,119,8,5
11,11,121,10,6
13,13,169,11,7
17,11,187,6,4
17,13,221,12,7
19,13,247,10,6
23,11,253,12,7
11,23,253,12,7
17,17,289,8,6
13,23,299,13,9
19,17,323,9,6
13,29,377,14,9
17,23,391,13,8
11,37,407,13,8
17,29,493,15,9
31,17,527,16,11
19,31,589,18,12
23,29,667,14,9
29,23,667,14,9
17,41,697,15,10
17,47,799,16,10
29,29,841,19,13
37,23,851,16,10
23,37,851,16,10
31,29,899,13,8
19,59,1121,22,15
41,29,1189,21,14
53,23,1219,19,13
23,59,1357,19,12
37,37,1369,19,13
31,47,1457,20,13
29,53,1537,22,15
29,61,1769,22,15
47,41,1927,20,13
67,29,1943,19,12
41,53,2173,24,16
67,37,2479,14,10
59,47,2773,23,15
53,61,3233,25,17
59,61,3599,20,13
41,97,3977,27,18
71,61,4331,25,17
97,47,4559,26,18
59,79,4661,28,19
67,71,4757,21,15
79,67,5293,24,16
71,83,5893,26,18
79,83,6557,29,19
97,71,6887,26,17
79,89,7031,27,18
79,97,7663,26,17
97,79,7663,26,17
83,97,8051,27,18
137,59,8083,27,18
71,127,9017,33,23
127,79,10033,33,23
167,71,11857,31,22
127,97,12319,32,23
59,211,12449,32,22
97,131,12707,31,21
61,211,12871,31,22
127,103,13081,34,24
137,101,13837,34,23
83,179,14857,35,24
79,191,15089,34,23
113,137,15481,35,24
127,127,16129,31,21
233,71,16543,36,26
149,127,18923,34,24
113,173,19549,38,27
251,79,19829,36,25
127,167,21209,36,25
191,127,24257,36,25
173,157,27161,40,28
179,163,29177,39,27
131,233,30523,35,24
191,179,34189,41,29
251,157,39407,39,28
167,257,42919,35,25
233,197,45901,42,30
191,251,47941,42,30
191,263,50233,43,30
223,277,61771,41,29
211,293,61823,40,28
307,223,68461,44,31
233,307,71531,43,31
293,251,73543,43,31
191,431,82321,47,34
307,269,82583,40,29
191,479,91489,46,33
269,347,93343,40,29
293,331,96983,40,29
439,277,121603,44,31
211,613,129343,43,30
431,307,132317,50,36
587,239,140293,50,36
227,641,145507,46,33
541,281,152021,41,30
397,383,152051,46,33
431,359,154729,49,35
557,311,173227,43,31
541,521,281861,40,30
499,571,284929,55,40
499,631,314869,53,38
593,563,333859,47,34
853,433,369349,51,36
631,587,370397,50,36
401,967,387767,48,34
937,419,392603,49,35
457,911,416327,52,38
563,761,428443,53,38
773,557,430561,55,39
839,719,603241,58,42
839,773,648547,54,39
719,919,660761,59,43
769,907,697483,56,41
467,1543,720581,55,39
769,967,743623,53,38
953,929,885337,59,43
919,967,888673,58,42
733,1327,972691,56,40
631,1543,973633,59,42
673,1493,1004789,58,41
691,1567,1082797,60,43
937,1297,1215289,61,44
971,1277,1239967,59,43
1093,1151,1258043,50,37
937,1619,1517003,60,44
2143,733,1570819,56,41
1801,877,1579477,62,45
1319,1277,1684363,60,43
1187,1423,1689101,62,44
2207,797,1758979,61,44
1657,1097,1817729,63,45
1823,1087,1981601,63,45
1319,1511,1993009,63,45
1097,1847,2026159,60,43
1171,1777,2080867,59,42
2039,1039,2118521,66,48
1811,1693,3066023,63,46
1361,2333,3175213,66,47
1583,2099,3322717,66,47
2309,1471,3396539,63,45
1723,2039,3513197,64,46
3037,1249,3793213,66,47
1693,2267,3838031,64,46
2963,1399,4145237,66,47
1511,2837,4286707,67,49
2609,1709,4458781,70,51
2897,1669,4835093,70,51
1511,3823,5776553,70,51
1753,3541,6207373,67,48
3217,2333,7505261,70,50
1741,4679,8146139,68,49
3251,2521,8195771,67,48
5437,1523,8280551,67,48
3109,2999,9323891,70,51
2437,3863,9414131,70,51
2203,4441,9783523,62,46
3793,2711,10282823,71,52
1973,5683,11212559,72,53
3671,3217,11809607,69,50
3881,3821,14829301,73,53
2549,5923,15097727,72,52
2609,6211,16204499,73,53
5569,3491,19441379,74,54
3779,5791,21884189,75,54
5623,3967,22306441,79,58
5701,4073,23220173,78,57
3181,7433,23644373,75,54
2909,8317,24194153,74,54
4177,5851,24439627,73,54
4889,5059,24733451,73,54
4421,5639,24930019,72,53
4691,5347,25082777,75,55
3469,7433,25785077,76,55
6827,4397,30018319,78,57
6863,4547,31206061,78,56
7481,4651,34794131,80,59
6173,5879,36291067,80,59
7207,5927,42715889,83,61
6857,7159,49089263,80,59
7789,8329,64874581,84,61
7717,8819,68056223,84,62
12281,5987,73526347,84,62
5711,13487,77024257,89,66
12713,6197,78782461,85,62
5923,13499,79954577,89,66
10151,8161,82842311,84,62
14503,5807,84218921,87,64
6959,12473,86799607,80,58
12473,9431,117632863,87,64
16871,7207,121589297,89,65
13781,8887,122471747,86,63
11551,10739,124046189,87,63
12569,11933,149985877,91,67
15263,10159,155056817,91,67
10193,17579,179182747,87,65
14051,14173,199144823,86,63
14173,14143,200448739,86,63
13183,15541,204877003,91,68
13841,15193,210286313,92,68
14699,14503,213179597,91,67
19001,13729,260864729,94,69
11159,24967,278606753,96,71
13477,21247,286345819,96,72
17443,16519,288140917,85,65
14657,20249,296789593,98,73
14947,21859,326726473,98,73
15187,21647,328752989,96,71
10513,32069,337141397,97,72
22469,15859,356335871,95,71
19913,19739,393062707,93,70
21341,19913,424963333,100,74
28477,19927,567461179,99,74
21317,28283,602908711,99,74
32797,20663,677684411,97,73
34519,19661,678678059,98,74
21881,32831,718375111,99,75
46133,16411,757088663,99,75
38693,19717,762909881,100,75
26759,31477,842293043,100,75
35023,25657,898585111,102,76
30403,31333,952617199,100,75
33679,28591,962916289,106,79
24317,43093,1047892481,104,77
26557,41759,1108993763,105,79
36131,36209,1308267379,96,73
34439,39769,1369604591,103,78
26099,53173,1387762127,102,76
55529,25969,1442032601,110,83
31963,49393,1578748459,103,77
32749,50441,1651892309,107,80
33641,51197,1722318277,108,80
59651,31267,1865107817,108,81
46301,42667,1975524767,107,80
60167,36523,2197479341,111,83
60869,36497,2221535893,111,83
48751,50359,2455051609,114,86
80107,33479,2681902253,103,78
50359,55799,2809981841,111,83
55381,51517,2853062977,114,86
34303,85297,2925942991,108,82
57973,52267,3030074791,107,80
32297,104513,3375456361,114,86
58831,60509,3559804979,108,81
61253,59183,3625136299,110,83
87211,44159,3851150549,116,87
85331,47143,4022759333,114,85
65053,61909,4027366177,112,84
50021,88259,4414803439,116,88
53731,107563,5779467553,115,86
65353,94033,6145338649,117,88
133337,46477,6197103749,115,87
136303,47389,6459262867,119,90
124337,54083,6724517971,116,88
79967,84551,6761289817,120,90
126743,54277,6879229811,114,86
124291,67589,8400704399,116,87
154789,64679,10011597731,118,89
139871,75821,10605159091,113,87
129607,97547,12642774029,121,91
217687,67723,14742416701,124,93
196379,81629,16030221391,122,92
100333,160141,16067426953,125,94
148483,112097,16644498851,122,92
100291,171341,17183960231,126,96
164569,123259,20284610371,125,95
158209,148279,23459072311,123,94
112997,214531,24241359407,122,92
141241,173909,24563081069,124,94
172829,147551,25501091779,123,94
136163,195469,26615645447,129,98
149749,187573,28088869177,131,99
161387,180623,29150204101,129,97
183487,174829,32078848723,128,97
185947,175897,32707519459,127,96
205063,165551,33948384713,130,98
251063,148339,37242434357,131,99
190331,198043,37693722233,132,100
228013,167017,38082047221,131,99
202733,201577,40866309941,132,100
150869,347129,52371005101,133,100
241463,225307,54403304141,133,101
219937,256349,56380630013,132,100
284819,213943,60935031317,136,103
421121,157427,66295815667,131,99
216431,361723,78288070613,139,106
264031,358931,94768910861,135,103
290021,340979,98891070559,132,101
271211,374531,101576927041,136,104
243391,446569,108690875479,137,105
283207,385223,109097850161,138,104
414577,271169,112420430513,141,107
346349,327127,113300109323,138,105
