p,q,m,unknowns,carry_bits
1181,751,886931,56,40
631,1459,920629,58,41
1523,607,924461,58,41
1109,839,930451,57,41
1259,757,953063,55,39
1361,709,964949,58,41
1049,1009,1058441,63,46
761,1399,1064639,59,43
1297,839,1088183,58,42
1049,1093,1146557,47,35
1013,1181,1196353,63,46
1447,839,1214033,62,45
1481,839,1242559,58,42
1087,1163,1264181,52,38
1759,719,1264721,63,46
691,1931,1334321,62,45
1049,1361,1427689,58,42
1361,1051,1430411,56,41
829,1823,1511267,59,43
1787,887,1585069,61,44
1861,863,1606043,59,43
1039,1567,1628113,64,46
1973,839,1655347,59,43
1471,1259,1851989,63,45
1511,1229,1857019,60,43
1523,1259,1917457,63,45
1723,1117,1924591,59,42
1361,1493,2031973,61,43
1423,1471,2093233,62,44
1277,1709,2182393,65,47
1087,2111,2294657,53,40
1367,1753,2396351,63,46
1619,1511,2446309,64,46
2083,1201,2501683,54,40
1889,1399,2642711,64,47
2267,1187,2690929,62,45
1997,1361,2717917,63,45
1049,2617,2745233,63,46
1031,2671,2753801,63,46
2027,1361,2758747,64,47
3163,929,2938427,63,46
1721,1759,3027239,63,46
1901,1637,3111937,64,46
2309,1361,3142549,62,45
1949,1669,3252881,66,48
2153,1531,3296243,63,45
2099,1597,3352103,63,45
1319,2579,3401701,65,46
1973,1741,3434993,66,48
1973,1993,3932189,66,48
1973,2111,4165003,64,46
2503,1753,4387759,66,48
3491,1289,4499899,67,49
1433,3167,4538311,68,50
2287,2053,4695211,53,40
2113,2251,4756363,59,44
1663,2909,4837667,67,49
1693,2927,4955411,67,49
1931,2647,5111357,69,50
4013,1327,5325251,68,50
2699,1987,5362913,70,51
2039,2677,5458403,64,46
2957,1931,5709967,65,47
2579,2221,5727959,64,47
2161,2659,5746099,63,46
1801,3557,6406157,70,51
2203,2917,6426151,68,49
2671,2423,6471833,72,52
2591,2521,6531911,69,50
1847,3571,6595637,69,50
2203,2999,6606797,70,50
2879,2411,6941269,71,51
2879,2503,7206137,70,50
3163,2281,7214803,68,49
3119,2371,7395149,71,51
1931,3847,7428557,70,51
2647,2833,7498951,69,50
4231,1801,7620031,67,48
2503,3067,7676701,70,50
2339,3319,7763141,70,50
3907,2027,7919489,71,52
3083,2591,7988053,71,51
2683,3061,8212663,67,48
3079,2729,8402591,72,53
3989,2137,8524493,74,54
2851,3037,8658487,70,51
3821,2309,8822689,73,53
2609,3389,8841901,72,52
3329,2683,8931707,71,52
2503,3607,9028321,74,54
1823,5147,9382981,73,53
2741,3433,9409853,72,52
3329,2953,9830537,74,54
2749,3617,9943133,73,53
3623,2843,10300189,73,53
2557,4127,10552739,67,49
2141,5227,11191007,68,50
3307,3449,11405843,69,50
4409,2591,11423719,67,49
3413,3457,11798741,71,51
2861,4297,12293717,70,51
2503,5051,12642653,75,54
5051,2551,12885101,74,53
4049,3251,13163299,71,52
2909,4547,13227223,72,52
2677,5323,14249671,72,52
3593,4273,15352889,74,53
4507,3613,16283791,72,52
4481,3793,16996433,79,58
4637,3793,17588141,76,55
3271,5431,17764801,78,57
4027,4513,18173851,76,56
3137,5981,18762397,77,56
3089,6277,19389653,78,57
4049,5147,20840203,75,55
6449,3251,20965699,75,55
5261,4177,21975197,74,54
4127,5437,22438499,72,53
3343,6967,23290681,78,57
6421,3631,23314651,76,56
3251,7219,23468969,78,57
7687,3079,23668273,75,54
3209,7411,23781899,73,53
3299,7283,24026617,75,54
6029,3989,24049681,76,55
4751,5737,27256487,76,55
5519,5261,29035459,77,56
7283,4127,30056941,79,57
5849,5147,30104803,76,55
3581,8501,30442081,78,56
3947,8191,32329877,74,53
3187,10781,34359047,80,59
4793,7529,36086497,83,61
6079,6733,40929907,79,58
6701,6449,43214749,80,58
7963,5717,45524471,77,56
7039,6907,48618373,82,60
7649,7589,58048261,81,59
7177,8231,59073887,82,60
7121,8821,62814341,82,59
7951,8699,69165749,86,63
8263,9277,76655851,77,58
9479,9227,87462733,84,62
8867,11527,102209909,88,64
