biprime,n_qubits,depth,n_gates,n_cnot,n_u3
49,19,931,1911,852,1059
55,19,931,1911,852,1059
65,26,1768,3822,1716,2106
77,26,1768,3822,1716,2106
91,26,1768,3822,1716,2106
95,26,1768,3822,1716,2106
119,26,1768,3822,1716,2106
121,26,1768,3822,1716,2106
133,33,2227,5154,2302,2852
143,33,2229,5154,2302,2852
169,33,2227,5154,2302,2852
187,33,2227,5154,2302,2852
209,33,2227,5154,2302,2852
221,33,2227,5154,2302,2852
247,33,2227,5154,2302,2852
253,33,2227,5154,2302,2852
289,42,3625,8602,3864,4738
299,42,3625,8602,3864,4738
319,42,3617,8602,3864,4738
323,42,3625,8602,3864,4738
341,42,3625,8602,3864,4738
361,42,3625,8602,3864,4738
377,42,3614,8602,3864,4738
391,42,3625,8602,3864,4738
403,42,3625,8602,3864,4738
407,42,3625,8602,3864,4738
481,42,3625,8602,3864,4738
493,42,3625,8602,3864,4738
527,51,4315,10839,4848,5991
529,51,4315,10839,4848,5991
533,51,4315,10839,4848,5991
611,51,4315,10839,4848,5991
629,51,4304,10839,4848,5991
667,51,4315,10839,4848,5991
697,51,4304,10839,4848,5991
703,51,4308,10839,4848,5991
841,51,4315,10839,4848,5991
893,51,4315,10839,4848,5991
943,51,4315,10839,4848,5991
