m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,angles
15,4,uniform,2,17,hrs,256,0.0001,4,0.046875,0.078376,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,uniform,2,17,hrs,256,0.01,4,0.003906,0.078376,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,uniform,2,17,hrs,256,0.1,4,0.007812,0.078376,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,reduced,2,17,hrs,256,-1.0,0,,0.366267,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,256,0.0001,0,0.183594,0.366267,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,256,0.01,0,0.015625,0.366267,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,256,0.1,0,0.019531,0.366267,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,256,-1.0,1,,0.366305,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,256,0.0001,1,0.1875,0.366305,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,256,0.01,1,0.019531,0.366305,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,256,0.1,1,0.003906,0.366305,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,256,-1.0,2,,0.301206,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,256,0.0001,2,0.160156,0.301206,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,256,0.01,2,0.007812,0.301206,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,256,0.1,2,0.007812,0.301206,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,256,-1.0,3,,0.366304,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,256,0.0001,3,0.207031,0.366304,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,256,0.01,3,0.011719,0.366304,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,256,0.1,3,0.011719,0.366304,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,256,-1.0,4,,0.34755,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,256,0.0001,4,0.195312,0.34755,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,256,0.01,4,0.015625,0.34755,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,256,0.1,4,0.019531,0.34755,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,uniform,3,17,hrs,256,-1.0,0,,0.158738,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,256,0.0001,0,0.078125,0.158738,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,256,0.01,0,0.011719,0.158738,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,256,0.1,0,0.015625,0.158738,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,256,-1.0,1,,0.196356,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,256,0.0001,1,0.109375,0.196356,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,256,0.01,1,0.035156,0.196356,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,256,0.1,1,0.023438,0.196356,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,256,-1.0,2,,0.17378,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,256,0.0001,2,0.082031,0.17378,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,256,0.01,2,0.007812,0.17378,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,256,0.1,2,0.015625,0.17378,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,256,-1.0,3,,0.074036,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,256,0.0001,3,0.035156,0.074036,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,256,0.01,3,0.015625,0.074036,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,256,0.1,3,0.019531,0.074036,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,256,-1.0,4,,0.097529,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,256,0.0001,4,0.042969,0.097529,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,256,0.01,4,0.015625,0.097529,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,256,0.1,4,0.023438,0.097529,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,reduced,3,17,hrs,256,-1.0,0,,0.432574,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,256,0.0001,0,0.15625,0.432574,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,256,0.01,0,0.027344,0.432574,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,256,0.1,0,0.039062,0.432574,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,256,-1.0,1,,0.420052,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,256,0.0001,1,0.164062,0.420052,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,256,0.01,1,0.007812,0.420052,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,256,0.1,1,0.007812,0.420052,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,256,-1.0,2,,0.434116,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,256,0.0001,2,0.164062,0.434116,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,256,0.01,2,0.019531,0.434116,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,256,0.1,2,0.019531,0.434116,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,256,-1.0,3,,0.398221,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,256,0.0001,3,0.175781,0.398221,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,256,0.01,3,0.035156,0.398221,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,256,0.1,3,0.019531,0.398221,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,256,-1.0,4,,0.441136,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,256,0.0001,4,0.144531,0.441136,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,256,0.01,4,0.023438,0.441136,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,256,0.1,4,0.03125,0.441136,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,uniform,4,17,hrs,256,-1.0,0,,0.171579,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,256,0.0001,0,0.09375,0.171579,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,256,0.01,0,0.023438,0.171579,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,256,0.1,0,0.003906,0.171579,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,256,-1.0,1,,0.142486,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,256,0.0001,1,0.039062,0.142486,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,256,0.01,1,0.027344,0.142486,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,256,0.1,1,0.019531,0.142486,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,256,-1.0,2,,0.073431,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,256,0.0001,2,0.023438,0.073431,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,256,0.01,2,0.011719,0.073431,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,256,0.1,2,0.023438,0.073431,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,256,-1.0,3,,0.194888,"[1.23519503, 0.6113887, 2.697197, 2.76639319, 1.37272524, 1.247062, 1.36254965, 0.52428946]"
15,4,uniform,4,17,hrs,256,0.0001,3,0.058594,0.194888,"[1.23519503, 0.6113887, 2.697197, 2.76639319, 1.37272524, 1.247062, 1.36254965, 0.52428946]"
15,4,uniform,4,17,hrs,256,0.01,3,0.003906,0.194888,"[1.23519503, 0.6113887, 2.697197, 2.76639319, 1.37272524, 1.247062, 1.36254965, 0.52428946]"
15,4,uniform,4,17,hrs,256,0.1,3,0.019531,0.194888,"[1.23519503, 0.6113887, 2.697197, 2.76639319, 1.37272524, 1.247062, 1.36254965, 0.52428946]"
15,4,uniform,4,17,hrs,256,-1.0,4,,0.232731,"[4.10442613, 1.72983647, 2.88039028, 0.17388329, 2.73118032, 1.50976577, 2.78658621, 0.38622002]"
15,4,uniform,4,17,hrs,256,0.0001,4,0.046875,0.232731,"[4.10442613, 1.72983647, 2.88039028, 0.17388329, 2.73118032, 1.50976577, 2.78658621, 0.38622002]"
15,4,uniform,4,17,hrs,256,0.01,4,0.007812,0.232731,"[4.10442613, 1.72983647, 2.88039028, 0.17388329, 2.73118032, 1.50976577, 2.78658621, 0.38622002]"
15,4,uniform,4,17,hrs,256,0.1,4,0.015625,0.232731,"[4.10442613, 1.72983647, 2.88039028, 0.17388329, 2.73118032, 1.50976577, 2.78658621, 0.38622002]"
15,4,reduced,4,17,hrs,256,-1.0,0,,0.409931,"[2.60741115, 2.04528713, 0.79402334, -0.68749567, 2.25378922, 1.68097012, 2.13138384, 3.59120697]"
15,4,reduced,4,17,hrs,256,0.0001,0,0.113281,0.409931,"[2.60741115, 2.04528713, 0.79402334, -0.68749567, 2.25378922, 1.68097012, 2.13138384, 3.59120697]"
15,4,reduced,4,17,hrs,256,0.01,0,0.011719,0.409931,"[2.60741115, 2.04528713, 0.79402334, -0.68749567, 2.25378922, 1.68097012, 2.13138384, 3.59120697]"
15,4,reduced,4,17,hrs,256,0.1,0,0.023438,0.409931,"[2.60741115, 2.04528713, 0.79402334, -0.68749567, 2.25378922, 1.68097012, 2.13138384, 3.59120697]"
15,4,reduced,4,17,hrs,256,-1.0,1,,0.439996,"[1.74251348, 4.0789828, 0.45954762, 4.16846055, 0.65283696, 2.24180893, 2.48824939, 1.32979931]"
15,4,reduced,4,17,hrs,256,0.0001,1,0.144531,0.439996,"[1.74251348, 4.0789828, 0.45954762, 4.16846055, 0.65283696, 2.24180893, 2.48824939, 1.32979931]"
15,4,reduced,4,17,hrs,256,0.01,1,0.019531,0.439996,"[1.74251348, 4.0789828, 0.45954762, 4.16846055, 0.65283696, 2.24180893, 2.48824939, 1.32979931]"
15,4,reduced,4,17,hrs,256,0.1,1,0.015625,0.439996,"[1.74251348, 4.0789828, 0.45954762, 4.16846055, 0.65283696, 2.24180893, 2.48824939, 1.32979931]"
15,4,reduced,4,17,hrs,256,-1.0,2,,0.391212,"[1.71062075, 0.7796807, 3.93488906, 0.52362094, 2.58453143, 2.86123561, 0.66782448, -0.11242101]"
15,4,reduced,4,17,hrs,256,0.0001,2,0.113281,0.391212,"[1.71062075, 0.7796807, 3.93488906, 0.52362094, 2.58453143, 2.86123561, 0.66782448, -0.11242101]"
15,4,reduced,4,17,hrs,256,0.01,2,0.007812,0.391212,"[1.71062075, 0.7796807, 3.93488906, 0.52362094, 2.58453143, 2.86123561, 0.66782448, -0.11242101]"
15,4,reduced,4,17,hrs,256,0.1,2,0.011719,0.391212,"[1.71062075, 0.7796807, 3.93488906, 0.52362094, 2.58453143, 2.86123561, 0.66782448, -0.11242101]"
15,4,reduced,4,17,hrs,256,-1.0,3,,0.402651,"[-0.03729686, 1.84797022, 2.24239825, 2.14725832, 0.64390978, 1.4805782, 1.33353024, 0.6013282]"
15,4,reduced,4,17,hrs,256,0.0001,3,0.121094,0.402651,"[-0.03729686, 1.84797022, 2.24239825, 2.14725832, 0.64390978, 1.4805782, 1.33353024, 0.6013282]"
15,4,reduced,4,17,hrs,256,0.01,3,0.019531,0.402651,"[-0.03729686, 1.84797022, 2.24239825, 2.14725832, 0.64390978, 1.4805782, 1.33353024, 0.6013282]"
15,4,reduced,4,17,hrs,256,0.1,3,0.0,0.402651,"[-0.03729686, 1.84797022, 2.24239825, 2.14725832, 0.64390978, 1.4805782, 1.33353024, 0.6013282]"
15,4,reduced,4,17,hrs,256,-1.0,4,,0.435564,"[3.83715493, 1.14371813, 4.41394584, 0.25315427, 1.60735009, 1.1389416, 2.56220993, 1.04174238]"
15,4,reduced,4,17,hrs,256,0.0001,4,0.101562,0.435564,"[3.83715493, 1.14371813, 4.41394584, 0.25315427, 1.60735009, 1.1389416, 2.56220993, 1.04174238]"
15,4,reduced,4,17,hrs,256,0.01,4,0.007812,0.435564,"[3.83715493, 1.14371813, 4.41394584, 0.25315427, 1.60735009, 1.1389416, 2.56220993, 1.04174238]"
15,4,reduced,4,17,hrs,256,0.1,4,0.027344,0.435564,"[3.83715493, 1.14371813, 4.41394584, 0.25315427, 1.60735009, 1.1389416, 2.56220993, 1.04174238]"
15,4,uniform,5,17,hrs,256,-1.0,0,,0.18886,"[2.20201682, 0.59250679, -0.12330731, 0.34378643, 2.83237507, 2.89729183, 1.63049477, 2.46045547, 1.81059109, 2.5849309]"
